searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-01-09,42420,36000,244,96,71
2020-01-10,42989,36100,245,96,71
2020-01-11,28867,36200,245,96,65
2020-01-12,22590,36200,245,96,62
2020-01-13,23108,36300,245,96,62
2020-01-14,38465,36400,246,96,69
2020-01-15,30953,36400,246,96,66
2020-01-16,71004,36600,248,96,79
2020-01-17,38211,36700,248,96,69
2020-01-18,48161,36800,249,96,73
2020-01-19,59607,37000,249,96,76
2020-01-20,47272,37200,250,96,72
2020-01-21,33083,37300,250,96,67
2020-01-22,61056,37600,251,96,76
2020-01-23,36655,37700,251,96,68
2020-01-24,32435,37800,251,96,66
2020-01-25,30793,37900,251,96,65
2020-01-26,30374,38000,251,96,65
2020-01-27,57781,38200,252,96,75
2020-01-28,75771,38300,252,96,79
2020-01-29,73281,38500,254,96,78
2020-01-30,48796,38700,254,96,72
2020-01-31,40438,38800,254,96,69
2020-02-01,36099,38900,254,96,67
2020-02-02,78606,39000,256,96,79
2020-02-03,100600,39300,255,96,83
2020-02-04,58505,39400,257,96,75
2020-02-05,74882,39600,257,96,78
2020-02-06,62321,39900,257,96,75
2020-02-07,44248,40000,258,96,70
2020-02-08,40191,40200,258,96,69
2020-02-09,65039,40300,259,96,76
2020-02-10,50926,40500,259,96,72
2020-02-11,66277,40600,260,96,76
2020-02-12,55818,40800,261,96,73
2020-02-13,60051,40900,261,96,74
2020-02-14,80165,41000,263,96,79
2020-02-15,50274,41100,263,96,72
2020-02-16,69503,41200,264,96,76
2020-02-17,50969,41400,264,96,72
2020-02-18,71744,41500,265,96,77
2020-02-19,43433,41600,266,96,69
2020-02-20,71996,41800,266,96,77
2020-02-21,68398,41900,267,96,76
2020-02-22,50734,42100,267,96,71
2020-02-23,42734,42200,267,96,69
2020-02-24,77304,42400,268,96,78
2020-02-24,3387,42400,268,96,31
2020-02-25,54991,42500,269,96,72
2020-02-26,78232,42700,269,96,78
2020-02-27,47982,42900,269,96,70
2020-02-28,58288,43100,270,96,73
2020-02-29,66839,43200,270,96,75
2020-03-01,82859,43400,271,96,78
2020-03-02,61982,43600,271,96,74
2020-03-03,89506,43800,272,96,79
2020-03-04,57005,44000,265,96,72
2020-03-05,0,44400,265,96,15
2020-03-06,53909,44600,266,96,71
2020-03-07,93649,44900,266,96,80
2020-03-08,67060,45200,267,96,74
2020-03-09,93701,45600,267,96,79
2020-03-10,56226,45800,268,96,72
2020-03-11,99635,46200,268,96,71
2020-03-12,92270,46400,269,96,72
2020-03-13,69161,46600,269,96,72
2020-03-14,62167,46900,270,96,72
2020-03-15,103123,47100,270,96,72
2020-03-16,83105,47400,270,96,72
2020-03-17,112200,47700,271,96,72
2020-03-18,85504,48100,271,96,82
2020-03-19,112385,48500,272,96,82
2020-03-20,87753,48900,272,96,82
2020-03-21,73646,49300,273,96,82
2020-03-22,128745,49800,273,96,82
2020-03-23,125119,50400,274,96,82
2020-03-24,133382,50900,274,96,82
2020-03-25,147893,51600,276,96,83
2020-03-26,144319,52000,275,96,83
2020-03-27,150763,52600,277,96,83
2020-03-28,140639,53000,278,96,83
2020-03-29,144526,53500,279,96,83
2020-03-30,123639,53900,280,96,83
2020-03-31,0,54400,257,96,84
2020-04-01,122693,54800,258,96,84
2020-04-02,122937,55100,258,97,84
2020-04-03,130324,55400,260,97,85
2020-04-04,118677,55700,260,97,85
2020-04-05,130560,56000,261,97,84
2020-04-06,104383,56300,261,97,85
2020-04-07,125689,56600,262,97,85
2020-04-08,121907,56900,263,97,85
2020-04-09,121416,57200,264,97,84
2020-04-10,125717,57500,264,97,84
2020-04-11,104186,57800,265,97,85
2020-04-12,139516,58200,266,97,85
2020-04-13,165552,58600,266,97,84
2020-04-14,114571,59000,266,97,84
2020-04-15,136948,59300,267,97,84
2020-04-16,150789,59700,268,97,84
2020-04-17,104528,60000,269,97,84
2020-04-18,135734,60300,270,97,84
2020-04-19,104974,60600,269,97,84
2020-04-20,88009,60800,269,97,84
2020-04-21,116608,61000,270,97,84
2020-04-22,89258,61300,270,97,84
2020-04-23,91220,61600,271,97,84
2020-04-24,106299,61800,271,97,84
2020-04-25,85326,62100,272,97,84
2020-04-26,125116,62400,273,97,84
2020-04-27,141339,62800,273,97,84
2020-04-28,89976,63100,275,97,84
2020-04-29,120250,63400,275,97,84
2020-04-30,119617,63600,276,97,84
2020-05-01,82416,63800,276,97,84
2020-05-02,92885,64000,277,97,84
2020-05-03,78971,64200,277,97,84
2020-05-04,75034,64400,277,97,84
2020-05-05,105511,64700,278,97,84
2020-05-06,89265,64900,278,97,84
2020-05-07,130557,65100,279,97,84
2020-05-08,74064,65400,279,97,83
2020-05-09,119037,65600,280,97,84
2020-05-10,77506,65800,280,97,84
2020-05-11,70747,66000,280,97,83
2020-05-12,119345,66200,281,97,83
2020-05-13,121171,66500,282,97,83
2020-05-14,81952,66700,282,97,83
2020-05-15,132847,67000,283,96,83
2020-05-16,83664,67200,283,96,83
2020-05-17,108269,67400,285,96,83
2020-05-18,162244,67700,286,96,83
2020-05-19,102006,68000,286,96,83
2020-05-20,120103,68300,287,96,83
2020-05-21,104124,68500,287,96,83
2020-05-22,112258,68700,288,96,83
2020-05-23,103354,68900,288,96,82
2020-05-24,88743,69200,288,96,83
2020-05-25,151924,69400,289,96,83
2020-05-26,149648,69700,290,96,83
2020-05-27,105116,70100,290,96,83
2020-05-28,87095,70300,290,96,82
2020-05-29,118359,70600,291,96,82
2020-05-30,96516,70700,291,96,82
2020-05-31,86909,71000,289,96,83
2020-06-01,93045,71200,292,96,83
2020-06-02,146103,71500,291,96,83
2020-06-03,101298,71900,291,96,83
2020-06-04,154491,72300,292,96,83
2020-06-05,104443,72700,292,96,83
2020-06-06,89922,72900,292,96,83
2020-06-07,98676,73300,292,96,83
2020-06-08,101766,73500,292,96,83
2020-06-09,93774,73900,292,96,83
2020-06-10,83251,74100,292,96,84
2020-06-11,80988,74300,292,96,84
2020-06-12,84863,74500,292,96,84
2020-06-13,80739,74700,292,96,84
2020-06-14,90174,74900,292,96,84
2020-06-15,127559,75200,293,96,84
2020-06-16,116342,75500,293,96,84
2020-06-17,78442,75700,293,96,84
2020-06-18,73894,75900,293,96,84
2020-06-19,71987,76200,293,96,84
2020-06-20,70812,76400,293,96,84
2020-06-21,67972,76600,295,96,85
2020-06-22,169299,77000,295,96,85
2020-06-23,102569,77200,295,96,85
2020-06-24,92576,77500,294,96,85
2020-06-25,96749,77800,294,96,85
2020-06-26,82838,78000,296,96,85
2020-06-27,143543,78300,296,96,85
2020-06-28,104331,78500,296,96,86
2020-06-29,181513,78900,296,96,86
2020-06-30,128106,79300,296,96,86
2020-07-01,105884,79600,297,96,86
2020-07-02,177469,80100,297,96,86
2020-07-03,117084,80500,297,96,86
2020-07-04,108169,80800,297,96,86
2020-07-05,103643,81100,297,96,86
2020-07-06,186423,81600,298,96,86
2020-07-07,126885,81900,298,96,86
2020-07-08,108027,82200,298,96,86
2020-07-09,108036,82500,298,96,86
2020-07-10,142303,82800,299,96,86
2020-07-11,133007,83100,299,96,86
2020-07-12,114166,83400,299,96,87
2020-07-13,122640,83700,299,96,87
2020-07-14,103011,84000,299,96,87
2020-07-15,111806,84400,300,96,87
2020-07-16,185090,84900,300,96,87
2020-07-17,116368,85200,300,96,87
2020-07-18,123273,85500,300,96,87
2020-07-19,122560,85800,300,96,87
2020-07-20,190612,86300,301,96,87
2020-07-21,161531,86700,301,96,87
2020-07-22,116690,87100,301,96,88
2020-07-23,108816,87500,301,96,88
2020-07-24,181459,87800,302,96,88
2020-07-25,113853,88100,302,96,88
2020-07-26,106074,88400,302,96,88
2020-07-27,110428,88700,302,96,88
2020-07-28,168531,89100,303,96,88
2020-07-29,153807,89500,303,96,88
2020-07-30,124414,89800,303,96,88
2020-07-31,120039,90100,303,96,88
2020-08-01,102488,90400,303,96,88
2020-08-02,193056,90900,304,96,88
2020-08-03,171160,91300,304,96,88
2020-08-04,138299,91700,304,96,88
2020-08-05,125753,92100,305,96,88
2020-08-06,206835,92600,305,96,88
2020-08-07,120132,92900,305,96,88
2020-08-08,117717,93300,305,96,89
2020-08-09,119608,93700,305,96,89
2020-08-10,131417,94100,305,96,89
2020-08-11,218842,94500,306,96,89
2020-08-12,135175,94900,306,96,89
2020-08-13,214770,95300,307,97,89
2020-08-14,133687,95600,307,97,90
2020-08-15,284032,96200,309,97,90
2020-08-16,159603,96700,310,97,90
2020-08-17,221023,97200,310,97,90
2020-08-18,158231,97600,310,97,90
2020-08-19,133711,98000,310,97,90
2020-08-20,136316,98400,310,97,90
2020-08-21,123942,98800,310,97,89
2020-08-22,138007,99200,310,97,89
2020-08-23,133498,99600,310,97,89
2020-08-24,137261,100000,310,97,89
2020-08-25,144168,100000,310,97,89
2020-08-26,149033,101000,310,97,89
2020-08-27,255237,101000,311,97,81
2020-08-28,184764,102000,311,97,89
2020-08-29,150788,102000,311,97,90
2020-08-30,159626,103000,311,97,90
2020-08-31,142426,103000,312,97,90
2020-09-01,254172,103000,312,97,90
2020-09-02,157423,104000,312,97,90
2020-09-03,150104,104000,312,97,90
2020-09-04,133840,105000,312,97,90
2020-09-05,237071,105000,313,97,90
2020-09-06,174328,106000,313,97,90
2020-09-07,168281,106000,313,97,90
2020-09-08,154528,107000,313,97,90
2020-09-09,230529,107000,314,97,90
2020-09-10,170510,108000,314,97,90
2020-09-11,157489,108000,314,97,90
2020-09-12,153972,109000,314,97,90
2020-09-13,230133,109000,315,97,91
2020-09-14,191648,110000,315,97,90
2020-09-15,284675,111000,316,96,91
2020-09-16,158649,111000,316,96,91
2020-09-17,157441,112000,316,96,90
2020-09-18,153869,112000,316,96,91
2020-09-19,122960,113000,316,96,90
2020-09-20,137551,113000,316,96,91
2020-09-21,135353,113000,316,96,91
2020-09-22,273609,114000,317,96,91
2020-09-23,156418,115000,317,97,91
2020-09-24,150093,115000,317,97,91
2020-09-25,136865,115000,317,97,91
2020-09-26,134385,116000,317,97,91
2020-09-27,233260,116000,318,97,91
2020-09-28,202681,117000,318,97,91
2020-09-29,152632,117000,318,97,92
2020-09-30,113310,118000,318,96,91
2020-10-01,152605,118000,319,96,92
2020-10-02,300884,119000,319,97,91
2020-10-03,168334,119000,319,97,92
2020-10-04,205058,120000,320,97,92
2020-10-05,233094,120000,320,97,92
2020-10-06,126571,120000,320,97,92
2020-10-07,146763,121000,320,97,92
2020-10-08,237736,121000,321,97,92
2020-10-09,182946,122000,321,97,92
2020-10-10,168256,122000,321,97,92
2020-10-11,151460,122000,321,97,93
2020-10-12,149314,123000,321,97,92
2020-10-13,247680,123000,322,97,93
2020-10-14,173036,124000,322,97,92
2020-10-15,40777,124000,322,97,93
2020-10-16,263514,125000,322,97,93
2020-10-17,262000,125000,323,97,93
2020-10-18,208780,126000,323,97,93
2020-10-19,178173,126000,323,97,93
2020-10-20,155211,126000,323,97,93
2020-10-21,252128,127000,324,97,93
2020-10-22,177530,127000,324,97,93
2020-10-23,178813,128000,324,97,93
2020-10-24,153145,128000,324,97,93
2020-10-25,222073,129000,325,97,93
2020-10-26,250852,129000,325,97,93
2020-10-27,187197,130000,325,97,93
2020-10-28,181180,130000,325,97,93
2020-10-29,287566,131000,326,97,93
2020-10-30,120031,131000,325,97,93
2020-10-31,146781,131000,325,97,93
2020-11-01,145206,132000,325,97,93
2020-11-02,168658,132000,325,97,93
2020-11-03,146033,132000,325,97,93
2020-11-04,151551,133000,326,97,93
2020-11-05,283775,133000,326,97,93
2020-11-06,167075,134000,326,97,93
2020-11-07,0,134000,324,97,93
2020-11-08,145514,135000,324,97,93
2020-11-09,196465,135000,324,97,93
2020-11-10,286489,136000,325,97,93
2020-11-11,219964,136000,325,97,93
2020-11-12,162714,137000,325,97,93
2020-11-13,155097,137000,325,97,93
2020-11-14,163825,138000,325,97,93
2020-11-15,168611,138000,325,97,93
2020-11-16,364684,139000,326,97,93
2020-11-17,211298,139000,326,97,93
2020-11-18,199490,140000,326,97,93
2020-11-19,181881,141000,326,97,93
2020-11-20,194738,141000,326,97,93
2020-11-21,172015,142000,326,97,93
2020-11-22,314005,142000,327,97,93
2020-11-23,274157,143000,327,97,93
2020-11-24,201487,144000,327,97,93
2020-11-25,198374,144000,327,97,93
2020-11-26,218856,145000,326,97,93
2020-11-27,221457,146000,326,97,93
2020-11-28,371557,147000,328,97,93
2020-11-29,586566,149000,328,97,93
2020-11-30,388851,150000,328,97,93
2020-12-01,384164,152000,328,97,93
2020-12-02,588313,154000,329,97,93
2020-12-03,399861,156000,329,97,92
2020-12-04,348194,158000,329,97,94
2020-12-05,398016,160000,330,97,94
2020-12-06,561744,162000,302,97,94
2020-12-07,701213,164000,302,97,94
2020-12-08,0,167000,302,97,94
2020-12-09,505452,170000,303,97,93
2020-12-10,558493,172000,303,97,94
2020-12-11,481599,174000,303,97,94
2020-12-12,479719,176000,304,97,94
2020-12-13,636405,178000,304,97,94
2020-12-14,498139,180000,305,97,94
2020-12-15,599579,183000,305,97,94
2020-12-16,539881,185000,306,97,94
2020-12-17,781919,189000,306,97,94
2020-12-18,498722,192000,306,97,94
2020-12-19,537570,194000,306,97,94
2020-12-20,520466,197000,307,97,94
2020-12-21,844788,201000,307,97,94
2020-12-22,640997,205000,307,97,94
2020-12-23,667343,208000,307,97,95
2020-12-24,651793,212000,307,97,95
2020-12-25,640736,215000,307,97,95
2020-12-26,1067346,221000,308,97,95
2020-12-27,826525,225000,308,97,96
2020-12-28,860757,229000,308,97,96
2020-12-29,824525,233000,308,97,96
2020-12-30,761409,236000,308,97,96
2020-12-31,712849,239000,308,97,96
2021-01-01,622164,242000,308,97,98
2021-01-02,915132,245000,309,97,98
2021-01-03,766069,249000,309,97,98
2021-01-04,730629,251000,309,97,98
2021-01-05,629614,254000,309,97,98
2021-01-06,613708,256000,309,97,98
2021-01-07,948690,260000,310,97,98
2021-01-08,655335,262000,310,97,98
2021-01-09,891775,265000,311,97,98
2021-01-10,656476,267000,311,97,98
2021-01-11,619657,270000,311,97,98
2021-01-12,804527,273000,312,97,98
2021-01-13,588275,275000,312,97,98
2021-01-14,501694,276000,312,97,98
2021-01-15,618810,278000,313,97,98
2021-01-16,728194,281000,313,97,98
2021-01-17,517056,283000,313,97,98
2021-01-18,353756,286000,312,97,98
2021-01-19,527281,288000,312,97,98
2021-01-20,943841,292000,313,97,98
2021-01-21,651449,295000,313,97,98
2021-01-22,636165,298000,313,97,98
2021-01-23,543632,301000,313,97,98
2021-01-24,956910,306000,314,97,98
2021-01-25,932780,310000,314,97,98
2021-01-26,634703,313000,314,97,98
2021-01-27,915759,317000,315,97,98
2021-01-28,833487,320000,315,97,98
2021-01-29,624243,322000,315,97,98
2021-01-30,612211,324000,315,97,98
2021-01-31,649189,327000,315,97,98
2021-02-01,1105889,331000,316,97,98
2021-02-02,687403,334000,316,97,99
2021-02-03,644419,337000,316,97,99
2021-02-04,615826,340000,316,97,99
2021-02-05,587390,343000,316,97,99
2021-02-06,985741,346000,317,97,99
2021-02-07,663334,348000,317,97,99
2021-02-08,672165,351000,317,97,99
2021-02-09,592529,353000,317,97,99
