searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-07-25,477204,198000,45,96,96
2020-07-26,950165,217000,46,96,95
2020-07-27,998858,234000,46,96,94
2020-07-28,572266,244000,46,96,94
2020-07-29,442587,250000,46,96,94
2020-07-30,353192,255000,46,96,94
2020-07-31,286018,259000,46,96,94
2020-08-01,167465,261000,46,96,94
2020-08-02,257166,264000,47,96,94
2020-08-03,242287,268000,47,96,94
2020-08-04,127662,270000,47,96,94
2020-08-05,125622,272000,47,96,94
2020-08-06,118069,274000,47,96,94
2020-08-07,109418,276000,47,96,94
2020-08-08,221676,279000,48,96,94
2020-08-09,271619,283000,48,97,94
2020-08-10,279104,287000,48,97,94
2020-08-11,172588,290000,48,97,94
2020-08-12,148871,292000,48,97,94
2020-08-13,145343,295000,48,97,93
2020-08-14,148037,297000,48,97,94
2020-08-15,271036,300000,49,97,94
2020-08-16,282659,304000,49,97,94
2020-08-17,272476,308000,49,97,94
2020-08-18,233317,311000,49,97,94
2020-08-19,194757,313000,49,97,94
2020-08-20,177490,316000,49,97,94
2020-08-21,170473,318000,49,97,94
2020-08-22,167715,320000,49,97,94
2020-08-23,363071,324000,50,97,94
2020-08-24,288923,328000,50,97,94
2020-08-25,194541,330000,50,97,94
2020-08-26,194662,333000,50,97,94
2020-08-27,191492,336000,50,95,77
2020-08-28,200946,338000,50,97,94
2020-08-29,148082,340000,50,97,94
2020-08-30,167552,342000,50,97,94
2020-08-31,188203,344000,50,97,94
2020-09-01,124634,346000,50,97,94
2020-09-02,404409,350000,51,97,93
2020-09-03,275143,353000,51,97,93
2020-09-04,219069,356000,50,97,93
2020-09-05,0,359000,50,97,93
2020-09-06,5894180,362000,51,97,93
2020-09-07,319214,368000,51,97,93
2020-09-08,251518,372000,51,97,93
2020-09-09,242112,375000,51,97,93
2020-09-10,212801,378000,51,97,93
2020-09-11,466961,387000,52,97,93
2020-09-12,510078,395000,52,97,92
2020-09-13,513072,404000,52,97,92
2020-09-14,439032,411000,52,97,92
2020-09-15,472677,419000,52,97,91
2020-09-16,403304,425000,52,97,91
2020-09-17,330732,430000,52,97,91
2020-09-18,286048,433000,52,97,91
2020-09-19,566505,440000,53,97,91
2020-09-20,545885,447000,53,97,91
2020-09-21,447499,453000,53,97,91
2020-09-22,299337,456000,53,97,91
2020-09-23,252153,459000,53,97,91
2020-09-24,243350,462000,53,97,90
2020-09-25,208149,464000,53,97,91
2020-09-26,192578,466000,53,97,91
2020-09-27,501330,471000,54,97,91
2020-09-28,508889,477000,54,97,91
2020-09-29,337025,481000,54,97,91
2020-09-30,252302,485000,54,97,91
2020-10-01,251746,488000,54,97,91
2020-10-02,399715,492000,54,97,91
2020-10-03,275717,495000,54,97,91
2020-10-04,142351,498000,54,97,91
2020-10-05,341282,501000,54,97,91
2020-10-06,131337,503000,54,97,91
2020-10-07,609948,511000,55,97,91
2020-10-08,541532,521000,55,97,90
2020-10-09,380035,527000,55,97,90
2020-10-10,302826,531000,55,97,90
2020-10-11,230200,534000,55,97,90
2020-10-12,226158,536000,55,97,90
2020-10-13,180746,538000,55,97,91
2020-10-14,163899,540000,55,97,91
2020-10-15,35174,542000,55,97,91
2020-10-16,266595,543000,55,97,91
2020-10-17,486317,547000,56,97,91
2020-10-18,421315,551000,56,97,91
2020-10-19,303474,554000,56,97,91
2020-10-20,213139,556000,56,97,91
2020-10-21,198030,558000,56,97,91
2020-10-22,172875,559000,56,97,91
2020-10-23,161260,561000,56,97,91
2020-10-24,176164,562000,56,97,91
2020-10-25,195134,564000,56,97,91
2020-10-26,219124,566000,56,97,91
2020-10-27,551468,572000,57,97,90
2020-10-28,436449,577000,57,97,90
2020-10-29,315744,580000,57,97,90
2020-10-30,268602,583000,57,97,90
2020-10-31,188129,584000,57,97,90
2020-11-01,197403,586000,57,97,90
2020-11-02,225380,588000,57,97,88
2020-11-03,150318,590000,57,97,88
2020-11-04,152028,591000,57,97,88
2020-11-05,523941,595000,58,97,88
2020-11-06,440973,599000,58,97,88
2020-11-07,280043,602000,58,97,88
2020-11-08,267112,605000,58,97,88
2020-11-09,282534,607000,58,97,88
2020-11-10,173191,609000,58,97,88
2020-11-11,173437,610000,58,97,89
2020-11-12,133593,611000,58,97,89
2020-11-13,125056,612000,58,97,89
2020-11-14,121550,613000,58,97,89
2020-11-15,668230,620000,59,97,89
2020-11-16,976294,633000,59,97,88
2020-11-17,588715,644000,59,97,88
2020-11-18,427732,649000,59,97,88
2020-11-19,362484,653000,59,97,88
2020-11-20,329871,657000,59,97,88
2020-11-21,263026,660000,59,97,89
2020-11-22,311879,664000,59,97,89
2020-11-23,363014,668000,59,97,89
2020-11-24,240469,671000,59,97,89
2020-11-25,717868,677000,60,97,89
2020-11-26,668089,685000,60,97,89
2020-11-27,584273,692000,60,97,89
2020-11-28,509582,698000,60,97,89
2020-11-29,518903,705000,60,97,89
2020-11-30,497212,712000,60,97,89
2020-12-01,345265,716000,60,97,90
2020-12-02,308591,719000,60,97,90
2020-12-03,276247,722000,60,97,90
2020-12-04,258932,724000,60,97,90
2020-12-05,810777,731000,61,97,90
2020-12-06,979421,741000,61,97,89
2020-12-07,778236,750000,61,97,89
2020-12-08,639942,757000,61,97,89
2020-12-09,464002,762000,61,97,89
2020-12-10,362756,765000,61,97,89
2020-12-11,336290,768000,61,97,90
2020-12-12,272835,770000,61,97,90
2020-12-13,286867,772000,61,97,90
2020-12-14,299712,774000,61,97,91
2020-12-15,201881,776000,61,97,91
2020-12-16,214832,777000,61,97,91
2020-12-17,191739,779000,61,97,91
2020-12-18,160787,780000,61,97,91
2020-12-19,164697,781000,61,97,91
2020-12-20,206464,783000,61,97,91
2020-12-21,768719,791000,62,97,90
2020-12-22,594643,798000,62,97,90
2020-12-23,383784,802000,62,97,90
2020-12-24,351638,805000,62,97,90
2020-12-25,288607,807000,62,97,90
2020-12-26,292431,809000,62,97,90
2020-12-27,276559,811000,62,97,90
2020-12-28,272698,813000,62,97,90
2020-12-29,238642,815000,62,97,90
2020-12-30,256060,817000,62,97,90
2020-12-31,238681,818000,62,97,90
2021-01-01,461183,821000,63,97,90
2021-01-02,581152,824000,63,97,90
2021-01-03,340721,827000,63,97,90
2021-01-04,310099,829000,63,97,90
2021-01-05,215583,830000,63,97,90
2021-01-06,195768,832000,63,97,90
2021-01-07,178481,833000,63,97,91
2021-01-08,185061,834000,63,97,91
2021-01-09,176613,835000,63,97,91
2021-01-10,181727,836000,63,97,91
2021-01-11,168217,837000,63,97,91
2021-01-12,143090,838000,63,97,91
2021-01-13,131765,839000,63,97,91
