searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-01-09,4732,74900,224,98,27
2020-01-10,4773,75000,224,98,27
2020-01-11,4412,75000,224,98,26
2020-01-12,4564,75100,224,98,27
2020-01-13,5380,75100,225,98,29
2020-01-14,6379,75200,226,98,32
2020-01-15,4653,75200,226,98,28
2020-01-16,5452,75300,227,98,29
2020-01-17,6424,75300,228,98,32
2020-01-18,6124,75400,229,98,31
2020-01-19,4660,75400,229,98,28
2020-01-20,5115,75400,230,98,29
2020-01-21,5040,75500,230,98,29
2020-01-22,4500,75500,230,98,28
2020-01-23,4977,75600,231,98,29
2020-01-24,4271,75600,231,98,27
2020-01-25,3742,75600,231,98,26
2020-01-26,3190,75700,231,98,25
2020-01-27,4045,75700,232,98,27
2020-01-28,4902,75800,232,98,29
2020-01-29,6014,75800,233,98,31
2020-01-30,5044,75800,233,98,29
2020-01-31,4667,75900,233,98,28
2020-02-01,3745,75900,233,98,26
2020-02-02,4118,76000,233,98,27
2020-02-03,3799,76100,233,98,27
2020-02-04,5707,76100,234,98,30
2020-02-05,5785,76200,234,98,30
2020-02-06,5339,76200,234,98,29
2020-02-07,5121,76300,234,98,29
2020-02-08,6786,76400,235,98,32
2020-02-09,6229,76500,235,98,31
2020-02-10,5482,76600,235,98,29
2020-02-11,4927,76600,235,98,28
2020-02-12,4623,76700,234,98,28
2020-02-13,5089,76800,234,98,29
2020-02-14,0,76800,234,98,15
2020-02-15,4894,76900,234,98,28
2020-02-16,4462,76900,234,98,28
2020-02-17,6163,77000,235,98,31
2020-02-18,6867,77100,235,98,32
2020-02-19,5377,77200,235,98,29
2020-02-20,5151,77200,235,98,29
2020-02-20,0,77200,235,98,15
2020-02-21,4871,77300,235,98,28
2020-02-22,5288,77400,235,98,29
2020-02-23,4066,77400,235,98,27
2020-02-24,4922,77500,235,98,28
2020-02-25,4744,77600,235,98,28
2020-02-26,4646,77600,235,98,28
2020-02-27,5392,77700,235,98,29
2020-02-28,4541,77800,235,98,28
2020-02-29,4676,77800,235,98,28
2020-03-01,4657,77900,235,98,28
2020-03-02,5086,77900,235,98,29
2020-03-03,4327,78000,235,98,27
2020-03-04,4738,78100,235,98,28
2020-03-05,5142,78100,235,98,29
2020-03-06,5212,78200,236,98,29
2020-03-07,5925,78300,236,98,30
2020-03-08,4793,78300,236,98,28
2020-03-09,4012,78400,236,98,27
2020-03-10,5309,78500,237,98,29
2020-03-11,5592,78500,237,98,28
2020-03-12,5057,78600,237,98,28
2020-03-13,4778,78700,237,98,28
2020-03-14,4493,78700,237,98,28
2020-03-15,4249,78800,237,98,28
2020-03-16,5606,78800,238,98,28
2020-03-17,4646,78900,238,98,28
2020-03-18,5238,78900,239,98,15
2020-03-19,4412,79000,239,98,15
2020-03-20,4558,79000,239,98,15
2020-03-21,4356,79100,239,98,15
2020-03-22,4447,79100,239,98,15
2020-03-23,4442,79200,239,98,15
2020-03-24,4037,79300,239,98,15
2020-03-25,4753,79300,240,98,15
2020-03-26,5261,79300,241,98,15
2020-03-27,4819,79400,241,98,15
2020-03-28,4968,79400,242,98,15
2020-03-29,7108,79500,243,98,15
2020-03-30,5353,79500,243,98,15
2020-03-31,5360,79600,243,98,14
2020-04-01,5264,79600,244,98,14
2020-04-02,5996,79700,244,98,14
2020-04-03,7043,79800,245,98,14
2020-04-04,5297,79800,246,98,14
2020-04-05,6527,79900,246,98,14
2020-04-06,6255,80000,246,98,14
2020-04-07,5088,80000,247,98,14
2020-04-08,5007,80100,247,98,12
2020-04-09,5573,80100,247,98,8
2020-04-10,5000,80200,248,98,8
2020-04-11,11466,80300,249,98,7
2020-04-12,4702,80300,249,98,7
2020-04-13,5162,80400,249,98,7
2020-04-14,4983,80400,249,98,7
2020-04-15,4952,80500,249,98,7
2020-04-16,4606,80600,249,98,7
2020-04-17,5016,80600,249,98,7
2020-04-18,6204,80700,250,98,7
2020-04-19,6077,80800,250,98,7
2020-04-20,5371,80800,250,98,7
2020-04-21,5527,80900,250,98,7
2020-04-22,5265,80900,250,98,7
2020-04-23,6042,81000,251,98,7
2020-04-24,5764,81100,251,98,7
2020-04-25,5705,81200,250,98,7
2020-04-26,5335,81300,250,98,7
2020-04-27,5619,81300,250,98,7
2020-04-28,6023,81400,250,98,7
2020-04-29,6297,81500,250,98,7
2020-04-30,6217,81600,250,98,7
2020-05-01,5819,81700,250,98,7
2020-05-02,6390,81700,250,98,7
2020-05-03,6561,81800,250,98,8
2020-05-04,6173,81900,250,98,8
2020-05-05,6428,82000,250,98,8
2020-05-06,6973,82100,250,98,8
2020-05-07,9118,82100,251,98,8
2020-05-08,10023,82300,251,98,8
2020-05-09,9184,82300,251,98,8
2020-05-10,7561,82400,251,98,8
