searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-02-14,33078,103000,360,0,52
2020-02-15,28674,103000,360,0,49
2020-02-16,26458,103000,360,0,48
2020-02-17,41273,103000,361,0,55
2020-02-18,37284,103000,361,0,53
2020-02-19,43138,103000,362,99,56
2020-02-20,35217,103000,362,99,52
2020-02-21,27717,104000,362,99,49
2020-02-22,26746,104000,362,99,48
2020-02-23,25978,104000,362,99,48
2020-02-24,31389,104000,362,99,51
2020-02-25,50963,104000,363,99,58
2020-02-26,41934,104000,363,99,55
2020-02-27,43834,104000,363,99,56
2020-02-28,55527,105000,364,99,59
2020-02-29,51373,105000,364,99,58
2020-03-01,64509,105000,365,99,61
2020-03-02,60996,105000,365,99,60
2020-03-03,63278,105000,365,99,61
2020-03-04,71856,106000,365,99,63
2020-03-05,73940,106000,365,99,63
2020-03-06,82446,106000,366,99,65
2020-03-07,81367,106000,366,99,65
2020-03-08,79953,106000,366,99,64
2020-03-09,84074,106000,366,99,65
2020-03-10,72679,107000,366,99,63
2020-03-11,84860,107000,367,99,65
2020-03-12,60309,107000,367,99,60
2020-03-13,45874,107000,367,99,56
2020-03-14,39035,107000,367,99,53
2020-03-15,53530,107000,368,99,58
2020-03-16,53584,107000,368,99,58
2020-03-17,38962,107000,368,99,58
2020-03-18,36317,107000,368,99,61
2020-03-19,59729,107000,369,99,61
2020-03-20,53485,107000,369,99,62
2020-03-21,60374,107000,370,99,62
2020-03-22,69209,108000,370,99,61
2020-03-23,138272,108000,371,99,62
2020-03-24,153269,109000,371,99,62
2020-03-25,189152,110000,371,99,62
2020-03-26,147816,111000,371,99,63
2020-03-27,197162,112000,372,99,63
2020-03-28,172301,113000,372,99,64
2020-03-29,150735,113000,372,99,61
2020-03-30,160829,114000,373,99,62
2020-03-31,132810,114000,373,99,62
2020-04-01,152757,115000,374,99,63
2020-04-02,136894,115000,374,99,64
2020-04-03,115507,116000,374,99,64
2020-04-04,79859,116000,374,99,64
2020-04-05,84682,116000,374,99,63
2020-04-06,130287,117000,375,99,63
2020-04-07,96333,117000,375,99,65
2020-04-08,82841,117000,375,99,65
2020-04-09,121278,118000,376,99,65
2020-04-10,93854,118000,376,99,65
2020-04-11,79349,118000,376,99,65
2020-04-12,132269,118000,377,99,66
2020-04-13,108341,119000,377,99,66
2020-04-14,84154,119000,377,99,66
2020-04-15,88163,119000,377,99,67
2020-04-16,123244,120000,378,99,68
2020-04-17,106059,120000,378,99,68
2020-04-18,91203,121000,378,99,67
2020-04-19,106093,121000,378,99,67
2020-04-20,180757,122000,379,99,68
2020-04-21,187721,122000,379,99,68
2020-04-22,152130,122000,379,99,69
2020-04-23,138536,123000,379,99,69
2020-04-24,154825,123000,380,99,70
2020-04-25,153574,123000,380,99,70
2020-04-26,154612,124000,380,99,72
2020-04-27,138994,124000,380,99,72
2020-04-28,140235,125000,381,99,72
2020-04-29,134732,125000,381,99,72
2020-04-30,107208,125000,381,99,72
2020-05-01,87701,125000,381,99,72
2020-05-02,164311,126000,382,99,72
2020-05-03,161738,126000,382,99,73
2020-05-04,115165,126000,382,99,74
2020-05-05,86960,126000,382,99,74
2020-05-06,134244,127000,383,99,74
2020-05-07,103975,127000,383,99,74
2020-05-08,71925,127000,383,99,76
2020-05-09,64037,127000,383,99,77
2020-05-10,62655,127000,383,99,77
2020-05-11,74780,128000,384,99,77
2020-05-12,55026,128000,384,99,77
2020-05-13,42197,128000,382,99,77
2020-05-14,29396,128000,382,99,77
2020-05-15,58932,128000,383,99,77
2020-05-16,61656,128000,383,99,77
2020-05-17,72397,128000,384,99,77
2020-05-18,67011,128000,384,99,78
2020-05-19,54842,128000,384,99,78
2020-05-20,48375,128000,384,99,78
2020-05-21,72653,128000,386,99,78
2020-05-22,78075,129000,386,99,78
2020-05-23,67639,129000,386,99,78
2020-05-24,59397,129000,386,99,78
2020-05-25,152310,129000,387,99,78
2020-05-26,144617,130000,387,99,78
2020-05-27,89986,130000,386,99,78
2020-05-28,134766,131000,387,99,78
2020-05-29,94453,131000,387,99,78
2020-05-30,101184,131000,387,99,78
