searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-02-14,6976,54500,225,0,38
2020-02-15,6042,54500,226,0,36
2020-02-16,9796,54500,227,0,43
2020-02-17,10037,54500,227,0,43
2020-02-18,6946,54400,227,0,38
2020-02-19,7434,54400,227,98,39
2020-02-20,5923,54400,228,98,35
2020-02-21,8591,54400,228,98,41
2020-02-22,5413,54400,228,98,34
2020-02-23,11402,54400,228,98,45
2020-02-24,41277,54600,229,98,64
2020-02-25,97434,55100,229,98,77
2020-02-26,112804,55600,229,98,79
2020-02-27,136322,56300,229,98,82
2020-02-28,125308,57000,230,98,80
2020-02-29,145862,57900,230,98,82
2020-03-01,203650,59000,231,97,87
2020-03-02,244794,60400,232,97,90
2020-03-03,251388,61600,232,97,90
2020-03-04,210705,62600,233,97,87
2020-03-05,151139,63400,233,97,82
2020-03-06,136180,64100,234,97,80
2020-03-07,107699,64600,234,97,76
2020-03-08,98744,65000,234,97,75
2020-03-09,75737,65200,235,97,71
2020-03-10,61348,65400,235,97,68
2020-03-11,51047,65600,235,97,65
2020-03-12,49100,65700,236,96,64
2020-03-13,41459,65700,236,96,62
2020-03-14,43607,65900,236,96,62
2020-03-15,66804,66100,237,96,72
2020-03-16,101636,66300,238,96,72
2020-03-17,98730,66600,238,96,73
2020-03-18,85144,66800,238,96,79
2020-03-19,65052,66900,239,96,79
2020-03-20,51578,67000,239,96,80
2020-03-21,41214,67100,239,96,80
2020-03-22,43939,67200,240,96,80
2020-03-23,38833,67200,240,96,80
2020-03-24,34165,67300,240,96,81
2020-03-25,33627,67400,240,96,81
2020-03-26,28659,67400,240,96,81
2020-03-27,28025,67500,239,96,81
2020-03-28,0,67600,239,96,81
2020-03-29,27947,67600,240,96,81
2020-03-30,31482,67600,240,96,82
2020-03-31,25432,67700,240,96,82
2020-04-01,22920,67800,240,96,82
2020-04-02,21979,67800,240,96,82
2020-04-03,22043,67800,240,96,82
2020-04-04,18780,67900,241,96,82
2020-04-05,25654,67900,241,96,82
2020-04-06,22212,67900,241,96,82
2020-04-07,18996,67900,241,96,82
2020-04-08,18982,68000,241,96,82
2020-04-09,18674,68000,241,96,83
2020-04-10,20634,68000,242,96,83
2020-04-11,19434,68000,243,96,83
2020-04-12,27396,68000,243,96,83
2020-04-13,24420,68100,241,96,83
2020-04-14,0,68100,241,96,83
2020-04-15,17874,68100,242,96,83
2020-04-16,20778,68100,242,96,83
2020-04-17,18796,68100,242,96,83
2020-04-18,19459,68200,243,96,83
2020-04-19,19612,68300,243,96,83
2020-04-20,714495,68400,244,96,84
2020-04-21,30463,68400,245,96,84
2020-04-22,26209,68500,245,96,84
2020-04-23,28488,68600,245,96,84
2020-04-24,30415,68700,245,96,84
2020-04-25,32725,68700,246,96,84
2020-04-26,43095,68900,247,96,84
2020-04-27,43726,69000,247,96,85
2020-04-28,35552,69100,247,96,82
2020-04-29,36606,69200,247,96,82
2020-04-30,40086,69400,247,96,82
2020-05-01,49269,69500,248,96,82
2020-05-02,53051,69700,248,96,83
2020-05-03,57414,69900,249,96,83
2020-05-04,49923,70000,249,96,83
2020-05-05,40285,70100,249,96,83
2020-05-06,45463,70300,249,96,83
2020-05-07,33078,70300,249,96,84
2020-05-08,30758,70400,249,96,84
2020-05-09,31058,70500,249,96,84
2020-05-10,41628,70500,250,96,84
