searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-02-20,597,1310,134,98,57
2020-02-21,339,1300,134,98,48
2020-02-22,291,1300,134,98,46
2020-02-23,338,1310,134,98,48
2020-02-24,240,1310,134,98,43
2020-02-25,241,1300,134,98,43
2020-02-26,326,1300,134,98,48
2020-02-27,452,1310,135,98,53
2020-02-28,340,1310,135,98,48
2020-02-29,408,1310,135,98,51
2020-03-01,394,1310,135,98,51
2020-03-02,311,1310,135,98,47
2020-03-03,174,1320,135,98,38
2020-03-04,254,1320,135,98,44
2020-03-05,257,1320,135,98,44
2020-03-06,276,1320,135,98,45
2020-03-07,453,1320,136,99,53
2020-03-08,713,1330,136,99,59
2020-03-09,351,1330,136,99,49
2020-03-10,228,1330,136,99,42
2020-03-11,270,1330,136,99,45
2020-03-12,221,1330,136,99,42
2020-03-13,298,1330,136,99,46
2020-03-14,348,1330,136,99,48
2020-03-15,433,1330,136,99,52
2020-03-16,358,1340,136,99,49
2020-03-17,338,1340,136,99,48
2020-03-18,322,1340,136,99,80
2020-03-19,291,1340,136,99,77
2020-03-20,279,1340,136,99,77
2020-03-21,193,1340,136,99,77
2020-03-22,220,1350,136,99,77
2020-03-23,303,1350,136,99,77
2020-03-24,202,1350,136,99,77
2020-03-25,219,1350,136,99,77
2020-03-26,219,1350,136,99,77
2020-03-27,233,1350,136,99,77
2020-03-28,247,1350,136,99,77
2020-03-29,327,1350,136,99,77
2020-03-30,299,1360,136,99,77
2020-03-31,234,1360,136,99,77
2020-04-01,237,1360,136,99,77
2020-04-02,291,1360,136,98,77
2020-04-03,282,1370,136,98,77
2020-04-04,233,1370,136,98,77
2020-04-05,285,1370,136,98,77
2020-04-06,277,1360,136,98,78
2020-04-07,259,1370,136,98,78
2020-04-08,268,1370,136,98,78
2020-04-09,289,1370,136,98,78
2020-04-10,199,1370,136,98,78
2020-04-11,310,1370,136,98,78
2020-04-12,287,1370,136,98,78
2020-04-13,348,1370,136,98,77
2020-04-14,244,1370,136,98,77
2020-04-15,194,1370,136,98,77
2020-04-16,251,1370,136,98,77
2020-04-17,302,1380,136,98,77
2020-04-18,369,1380,136,98,77
2020-04-19,788,1380,136,98,77
2020-04-20,630,1390,136,98,77
2020-04-21,390,1390,136,98,77
