searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-02-14,23951,79700,4378,0,51
2020-02-15,24636,79700,4380,0,51
2020-02-16,25744,79800,4380,0,52
2020-02-17,26328,79800,4381,0,52
2020-02-18,25206,79800,4381,0,51
2020-02-19,23929,79800,4382,0,51
2020-02-20,26923,79900,4384,94,52
2020-02-21,26027,79900,4385,94,52
2020-02-22,24889,79900,4386,94,51
2020-02-23,27070,79900,4387,94,52
2020-02-24,29120,80000,4388,94,53
2020-02-25,26446,80000,4389,93,52
2020-02-26,33218,80000,4390,93,55
2020-02-27,35568,80100,4390,94,56
2020-02-28,32880,80100,4393,94,55
2020-02-29,33263,80200,4393,94,55
2020-03-01,33954,80200,4395,94,56
2020-03-02,34643,80200,4395,94,56
2020-03-03,29054,80300,4395,94,53
2020-03-04,30390,80300,4396,94,54
2020-03-05,30384,80300,4396,94,54
2020-03-06,26231,80300,4396,94,52
2020-03-07,31131,80400,4397,94,54
2020-03-08,35186,80400,4398,94,56
2020-03-09,30957,80500,4398,94,54
2020-03-10,27506,80500,4399,94,52
2020-03-11,29687,80600,4398,93,54
2020-03-12,28869,80600,4397,94,53
2020-03-13,28058,80600,4398,94,53
2020-03-14,27807,80700,4399,94,53
2020-03-15,30525,80800,4400,94,53
2020-03-16,30343,80800,4400,93,53
2020-03-17,27898,80900,4401,94,53
2020-03-18,29559,81000,4401,93,13
2020-03-19,28141,81000,4402,93,13
2020-03-20,28839,81100,4403,93,13
2020-03-21,26127,81100,4404,93,13
2020-03-22,27839,81100,4404,93,14
2020-03-23,28151,81200,4405,93,14
2020-03-24,26749,81200,4406,93,14
2020-03-25,25585,81200,4407,93,14
2020-03-26,26691,81200,4407,93,14
2020-03-27,26747,81300,4407,93,14
2020-03-28,0,81300,4408,93,14
2020-03-29,27435,81300,4408,93,14
2020-03-30,26383,81400,4408,93,14
2020-03-31,25073,81400,4408,93,14
2020-04-01,24865,81400,4408,93,14
2020-04-02,24985,81500,4409,93,14
2020-04-03,27444,81500,4409,93,15
2020-04-04,22799,81500,4410,93,15
2020-04-05,26417,81500,4410,93,15
2020-04-06,26798,81600,4410,93,15
2020-04-07,24524,81600,4410,93,15
2020-04-08,27230,81600,4411,93,15
2020-04-09,25962,81700,4411,93,15
2020-04-10,25548,81700,4412,92,15
2020-04-11,23102,81700,4412,92,15
