searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-02-14,16111,60500,207,0,49
2020-02-15,16538,60500,207,0,49
2020-02-16,20545,60600,207,0,52
2020-02-17,26974,60600,207,0,56
2020-02-18,27621,60700,208,0,57
2020-02-19,23212,60700,208,95,54
2020-02-20,27055,60800,208,95,56
2020-02-21,21972,60900,208,95,53
2020-02-22,19704,60900,208,95,52
2020-02-23,24229,60900,209,95,55
2020-02-24,27711,61000,209,95,57
2020-02-25,22308,61100,209,95,53
2020-02-26,22012,61100,210,95,53
2020-02-27,24070,61100,210,95,55
2020-02-28,27261,61200,211,95,56
2020-02-29,30282,61200,211,95,58
2020-03-01,30458,61300,212,95,58
2020-03-02,38764,61400,212,95,62
2020-03-03,34160,61500,212,95,60
2020-03-04,38518,61600,212,95,62
2020-03-05,44602,61700,213,95,64
2020-03-06,27622,61800,213,95,56
2020-03-07,33693,61900,213,95,59
2020-03-08,29427,61900,213,95,57
2020-03-09,29644,62000,213,95,58
2020-03-10,33491,62100,214,95,59
2020-03-11,34334,62200,214,95,60
2020-03-12,31932,62300,214,95,59
2020-03-13,47626,62500,215,95,65
2020-03-14,79652,62800,215,95,72
2020-03-15,79672,63100,216,95,58
2020-03-16,59463,63300,216,96,59
2020-03-17,50563,63400,217,96,59
2020-03-18,55274,63500,217,96,70
2020-03-19,39387,63700,218,96,71
2020-03-20,75607,63800,218,96,71
2020-03-21,42724,63900,218,96,71
2020-03-22,47309,64000,219,96,71
2020-03-23,43505,64100,219,96,59
2020-03-24,50394,64200,220,96,59
2020-03-25,55144,64300,220,96,54
2020-03-26,40268,64500,220,96,54
2020-03-27,45498,64500,221,96,55
2020-03-28,44350,64600,221,96,56
2020-03-29,47477,64700,221,96,57
2020-03-30,62345,64800,222,96,57
2020-03-31,65038,65000,222,96,58
2020-04-01,73018,65100,223,96,60
2020-04-02,67023,65300,224,96,60
2020-04-03,81676,65400,224,96,61
2020-04-04,52138,65500,224,96,62
2020-04-05,68675,65700,224,96,64
2020-04-06,80473,65800,225,96,64
2020-04-07,59226,66000,225,96,65
2020-04-08,56434,66000,226,96,66
2020-04-09,45880,66100,226,96,66
2020-04-10,41646,66200,227,96,66
2020-04-11,37142,66200,227,96,66
2020-04-12,41261,66300,227,96,67
2020-04-13,47044,66400,227,96,67
2020-04-14,52604,66500,228,96,68
2020-04-15,63117,66700,229,96,68
2020-04-16,52748,66800,229,96,69
2020-04-17,45916,66900,229,96,69
2020-04-18,40772,66900,230,96,69
2020-04-19,36675,67000,230,96,69
2020-04-20,38222,67100,230,96,70
2020-04-21,45751,67200,231,96,70
2020-04-22,39048,67300,231,96,70
2020-04-23,52565,67400,232,96,71
2020-04-24,56217,67500,232,96,71
2020-04-25,60313,67600,232,96,72
2020-04-26,63205,67800,233,96,72
2020-04-27,61300,67900,233,96,73
2020-04-28,46842,68000,233,96,73
2020-04-29,52022,68000,234,96,74
2020-04-30,40801,68100,234,96,74
2020-05-01,46241,68200,235,96,74
2020-05-02,40399,68300,235,96,75
2020-05-03,47500,68400,236,96,75
2020-05-04,48846,68500,236,96,75
2020-05-05,51430,68600,237,96,75
2020-05-06,48572,68700,237,96,76
2020-05-07,42972,68800,238,96,76
2020-05-08,39753,68900,238,96,76
2020-05-09,37255,68900,238,96,76
2020-05-10,40907,69000,239,96,76
2020-05-11,40497,69000,239,96,65
2020-05-12,33274,69100,239,96,65
2020-05-13,36335,69200,240,96,65
2020-05-14,39630,69200,240,96,66
2020-05-15,32981,69300,240,96,66
2020-05-16,34289,69300,241,96,61
2020-05-17,36164,69400,242,96,61
2020-05-18,36378,69400,242,96,62
2020-05-19,35879,69500,242,96,62
2020-05-20,36061,69600,242,96,62
2020-05-21,44732,69700,244,96,62
