searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-02-14,17051,57100,267,98,50
2020-02-15,14185,57200,267,98,48
2020-02-16,13456,57300,267,98,47
2020-02-17,16687,57500,267,98,50
2020-02-18,16660,57700,267,98,50
2020-02-19,17103,57800,267,98,50
2020-02-20,16756,58000,267,98,50
2020-02-21,14016,58100,267,98,47
2020-02-22,14222,58200,268,98,47
2020-02-23,13336,58300,268,98,46
2020-02-24,15887,58500,268,98,49
2020-02-25,15983,58700,268,98,49
2020-02-26,17960,58800,269,98,51
2020-02-27,18380,59000,269,98,51
2020-02-28,16578,59100,269,98,50
2020-02-29,16192,59300,269,98,49
2020-03-01,16497,59500,269,98,49
2020-03-02,19452,59700,269,98,52
2020-03-03,17510,59900,269,98,50
2020-03-04,19598,60100,269,98,52
2020-03-05,21003,60300,269,98,53
2020-03-06,18516,60500,269,98,51
2020-03-07,18166,60800,269,98,50
2020-03-09,43298,61400,270,98,63
2020-03-10,22479,61700,270,98,53
2020-03-11,25017,62000,271,98,55
2020-03-12,24361,62300,272,98,54
2020-03-13,22462,62600,272,98,53
2020-03-14,18792,62800,272,98,50
2020-03-15,18671,63000,272,98,50
2020-03-16,28936,63200,273,98,50
2020-03-17,20947,63400,273,98,51
2020-03-18,20706,63600,273,98,24
2020-03-19,20057,63800,273,98,24
2020-03-20,21336,64000,273,98,24
2020-03-21,18061,64200,273,98,24
2020-03-22,15866,64400,273,98,25
2020-03-23,19633,64500,273,98,25
2020-03-24,19112,64700,273,98,25
2020-03-25,20362,64900,275,98,25
2020-03-26,18411,65000,274,98,25
2020-03-27,18875,65200,274,98,25
2020-03-28,15993,65300,275,98,25
2020-03-29,16219,65500,275,98,25
2020-03-30,18084,65700,275,98,25
2020-03-31,18827,65800,275,98,25
2020-04-01,18428,66000,275,98,25
2020-04-02,17802,66200,275,98,25
2020-04-03,19910,66400,275,98,25
2020-04-04,14033,66500,275,98,25
2020-04-05,14995,66600,275,98,25
2020-04-06,17420,66800,275,98,25
2020-04-07,16704,67000,275,98,25
2020-04-08,17812,67100,275,98,25
2020-04-09,18675,67300,275,98,25
2020-04-10,19663,67400,276,98,25
2020-04-11,15539,67500,276,98,26
2020-04-12,14037,67700,276,98,26
2020-04-13,16181,67800,276,98,26
2020-04-14,17907,67900,277,98,26
2020-04-15,16428,68000,277,98,26
2020-04-16,14820,68200,277,98,24
2020-04-17,16143,68300,277,98,24
2020-04-18,15654,68400,277,98,24
2020-04-19,14315,68500,278,98,24
2020-04-20,16654,68700,278,98,24
2020-04-21,0,68800,277,98,24
2020-04-22,16960,68900,277,98,24
2020-04-23,19438,69100,277,98,25
2020-04-24,17709,69200,277,98,25
2020-04-25,15038,69300,277,98,24
2020-04-26,11576,69400,277,98,24
2020-04-27,13302,69600,277,98,24
2020-04-28,16896,69700,278,98,24
2020-04-29,17805,69800,278,98,24
2020-04-30,15600,70000,278,98,24
2020-05-01,13186,70100,278,98,24
2020-05-02,13106,70100,278,98,24
2020-05-03,11536,70200,278,98,24
2020-05-04,12757,70400,278,98,24
2020-05-05,13186,70500,278,98,24
2020-05-06,14351,70600,278,98,24
2020-05-07,15604,70700,278,98,24
2020-05-08,16100,70800,280,98,24
2020-05-09,13498,70800,280,98,24
2020-05-10,12268,70900,280,98,24
2020-05-11,13132,71100,280,98,24
2020-05-12,15219,71200,280,98,24
2020-05-13,15035,71300,281,98,24
2020-05-14,17737,71500,281,98,24
2020-05-15,14719,71600,281,98,23
2020-05-16,12804,71700,281,98,23
2020-05-17,10633,71700,281,98,23
2020-05-18,10669,71800,281,98,23
2020-05-19,14545,72000,281,98,23
2020-05-20,15062,72100,281,98,23
2020-05-21,14905,72200,281,98,23
2020-05-22,13238,72300,281,98,23
2020-05-23,11511,72400,281,98,23
2020-05-24,9151,72500,281,98,23
2020-05-25,11031,72500,281,98,23
2020-05-26,12393,72600,281,98,23
2020-05-27,13563,72700,281,98,23
2020-05-28,11715,72800,281,98,23
2020-05-29,13070,72900,281,98,23
2020-05-30,10094,73000,281,98,23
2020-05-31,9114,73100,281,98,23
2020-06-01,9845,73100,281,98,23
2020-06-02,12374,73200,281,98,23
2020-06-03,13455,73300,281,98,23
2020-06-04,12000,73400,281,98,23
2020-06-05,12262,73500,281,98,23
