searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-02-20,6904,35900,56,98,44
2020-02-21,9279,36200,57,98,48
2020-02-22,8310,36400,57,98,46
2020-02-23,7592,36600,57,98,45
2020-02-24,8400,36900,57,98,46
2020-02-25,6982,37100,57,98,44
2020-02-26,9327,37300,58,98,48
2020-02-27,8238,37600,58,98,46
2020-02-28,6892,37800,58,98,43
2020-02-29,7130,38000,58,98,43
2020-03-01,8078,38300,58,98,45
2020-03-02,8873,38600,58,98,47
2020-03-03,7030,38800,58,98,43
2020-03-04,7636,39100,58,98,44
2020-03-05,7604,39300,58,98,44
2020-03-06,9990,39600,59,98,48
2020-03-07,8723,39800,59,98,46
2020-03-08,8318,40100,59,98,45
2020-03-09,9189,40400,59,98,46
2020-03-10,7960,40700,59,98,44
2020-03-11,10026,41000,60,98,47
2020-03-12,11336,41300,60,98,49
2020-03-13,9947,41600,60,98,47
2020-03-14,9902,42000,60,98,47
2020-03-15,9266,42300,60,98,44
2020-03-16,12911,42800,60,98,44
2020-03-17,15573,43400,60,98,44
2020-03-18,19684,44100,60,98,46
2020-03-19,27344,45000,61,98,46
2020-03-20,27006,45900,61,98,46
2020-03-21,24309,46700,62,98,46
2020-03-22,27517,47700,62,98,46
2020-03-23,34493,48800,63,98,46
2020-03-24,29026,49800,63,98,46
2020-03-25,26815,50800,63,98,43
2020-03-26,22159,51600,63,98,43
2020-03-27,20245,52300,63,98,37
2020-03-28,16740,52900,63,98,38
2020-03-29,17874,53500,63,98,37
2020-03-30,19101,55000,63,98,37
2020-03-31,14961,55600,63,98,37
2020-04-01,20809,56200,64,98,37
2020-04-02,16510,56600,64,98,38
2020-04-03,15144,57100,64,98,38
2020-04-04,11317,57400,64,98,38
2020-04-05,13900,57800,64,98,37
2020-04-06,18342,58200,65,98,37
2020-04-07,15864,58700,65,98,36
2020-04-08,14323,59100,65,98,37
2020-04-09,15236,59500,66,98,37
2020-04-10,13864,59900,66,98,37
2020-04-11,17495,60300,67,98,37
2020-04-12,16289,60700,67,98,37
2020-04-13,17038,61100,67,98,37
2020-04-14,12147,61500,67,98,37
2020-04-15,11227,61800,67,98,35
2020-04-16,13126,62200,67,98,35
2020-04-17,10518,62700,67,98,34
