searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-01-09,6071,83100,405,97,29
2020-01-10,6294,83100,405,97,30
2020-01-11,6013,83200,405,97,29
2020-01-12,6846,83200,405,97,31
2020-01-13,7735,83200,405,97,33
2020-01-14,6510,83300,405,97,30
2020-01-15,9394,83300,406,97,36
2020-01-16,7901,83300,406,97,33
2020-01-17,6815,83400,406,97,31
2020-01-18,6978,83400,406,97,31
2020-01-19,7211,83400,406,97,32
2020-01-20,8748,83500,406,97,35
2020-01-21,7231,83500,406,97,32
2020-01-22,6726,83600,406,97,31
2020-01-23,6519,83600,406,97,30
2020-01-24,6521,83600,406,97,30
2020-01-25,6574,83700,406,97,30
2020-01-26,5821,83700,406,97,29
2020-01-27,5624,83700,406,97,29
2020-01-28,9729,83700,407,97,36
2020-01-29,8399,83800,407,97,34
2020-01-30,6312,83800,407,97,30
2020-01-31,6352,83800,407,97,30
2020-02-01,5597,83900,407,97,29
2020-02-02,6767,83900,407,97,31
2020-02-03,6549,83900,407,97,30
2020-02-04,5865,84000,407,97,29
2020-02-05,6678,84000,407,97,31
2020-02-06,7092,84100,407,97,31
2020-02-07,9325,84200,408,97,36
2020-02-08,9136,84200,408,97,35
2020-02-09,7695,84300,408,97,33
2020-02-10,8188,84300,408,97,34
2020-02-11,5990,84300,408,97,29
2020-02-12,6111,84400,408,97,29
2020-02-13,6335,84400,408,97,30
2020-02-14,7750,84400,408,97,33
2020-02-15,7133,84500,408,97,31
2020-02-16,8290,84500,409,97,34
2020-02-17,8566,84500,409,97,34
2020-02-18,7361,84600,409,97,32
2020-02-19,6940,84600,409,97,31
2020-02-20,11663,84600,410,97,39
2020-02-21,10897,84900,411,97,38
2020-02-22,8903,85000,411,97,35
2020-02-23,7922,85100,411,97,33
2020-02-24,8630,85100,411,97,34
2020-02-25,7616,85200,411,97,32
2020-02-26,7649,85200,411,97,32
2020-02-27,7392,85200,411,97,32
2020-02-28,6948,85300,411,97,31
2020-02-29,7365,85300,411,97,32
2020-03-01,8008,85300,411,97,33
2020-03-02,9201,85400,411,97,35
2020-03-03,9122,85400,412,97,35
2020-03-04,9268,85500,412,97,35
2020-03-05,10711,85500,413,97,37
2020-03-06,8197,85600,413,97,33
2020-03-07,8375,85600,413,97,34
2020-03-08,9926,85700,413,96,36
2020-03-09,9557,85700,413,96,36
2020-03-10,8582,85800,413,96,34
2020-03-11,9412,85800,413,96,34
2020-03-12,12277,85900,414,97,34
2020-03-13,10252,85900,414,97,34
2020-03-14,8674,86000,414,97,34
2020-03-15,9601,86100,414,97,34
2020-03-16,10295,86200,414,97,34
2020-03-17,8785,86200,414,97,35
2020-03-18,8802,86300,414,97,12
2020-03-19,8542,86300,414,97,12
2020-03-20,9634,86300,414,97,12
2020-03-21,8900,86400,414,97,12
2020-03-22,9691,86400,414,97,12
2020-03-23,11833,86500,415,97,13
2020-03-24,10454,86500,415,97,13
2020-03-25,9154,86600,415,97,13
2020-03-26,8845,86600,415,97,13
2020-03-27,9436,86700,415,97,13
2020-03-28,8694,86700,415,97,13
2020-03-29,9843,86800,415,97,13
2020-03-30,11544,86900,415,97,13
2020-03-31,11277,87000,415,97,13
2020-04-01,9926,87000,415,97,13
2020-04-02,10568,87100,415,97,13
2020-04-03,12985,87200,416,97,13
2020-04-04,10452,87200,416,97,13
2020-04-05,11514,87300,416,97,13
2020-04-06,11956,87400,416,97,13
2020-04-07,10211,87500,416,97,13
2020-04-08,10049,87500,416,97,13
2020-04-09,10492,87600,417,97,13
2020-04-10,11615,87600,417,97,13
2020-04-11,9633,87700,417,97,13
2020-04-12,10406,87800,417,97,13
2020-04-13,11223,87800,417,97,13
2020-04-14,9992,87900,417,97,13
2020-04-15,9136,88000,417,97,13
2020-04-16,9571,88000,417,97,13
2020-04-17,10770,88100,418,97,13
2020-04-18,9622,88100,418,97,13
2020-04-19,10343,88200,418,97,13
2020-04-20,10631,88300,418,97,13
2020-04-21,9065,88300,418,97,13
2020-04-22,9187,88400,418,97,13
2020-04-23,10768,88400,419,97,13
2020-04-24,9356,88500,419,97,13
2020-04-25,8814,88500,419,97,13
2020-04-26,9537,88500,419,97,13
2020-04-27,10155,88600,419,97,13
2020-04-28,10251,88600,420,97,13
2020-04-29,11975,88700,420,97,13
2020-04-30,10118,88700,420,97,13
2020-05-01,0,88800,420,97,13
2020-05-02,9095,88900,420,97,13
2020-05-03,9749,88900,420,97,13
2020-05-04,12049,89100,420,97,14
2020-05-05,10251,89200,420,97,14
2020-05-06,10363,89200,420,97,13
2020-05-07,8355,89300,420,97,13
2020-05-08,10685,89300,421,97,13
2020-05-09,10053,89400,421,97,13
2020-05-10,10810,89500,421,97,13
2020-05-11,10579,89600,421,97,13
2020-05-12,8612,89700,421,97,13
2020-05-13,7386,89800,421,97,13
2020-05-14,11227,89800,421,97,13
2020-05-15,9058,89900,421,97,13
2020-05-16,9025,90000,421,97,13
2020-05-17,9831,90000,421,97,13
2020-05-18,9422,90100,421,97,13
2020-05-19,9861,90100,422,97,13
2020-05-20,9715,90200,422,97,14
2020-05-21,8747,90200,422,97,14
2020-05-22,8703,90300,422,97,14
2020-05-23,9125,90400,422,97,14
2020-05-24,9471,90400,422,97,14
2020-05-25,10937,90500,422,97,14
2020-05-26,10879,90500,423,97,14
2020-05-27,10134,90600,423,97,14
2020-05-28,9372,90600,423,97,14
2020-05-29,8841,90700,423,97,14
2020-05-30,8565,90700,423,97,14
2020-05-31,8765,90800,423,97,14
2020-06-01,9488,90900,423,97,13
2020-06-02,8561,90900,423,97,13
2020-06-03,8387,91000,423,97,14
2020-06-04,8550,91000,423,97,14
2020-06-05,9985,91000,424,97,14
2020-06-06,8880,91100,424,97,14
2020-06-07,8993,91100,424,97,14
2020-06-08,9432,91200,424,97,14
2020-06-09,7980,91200,424,97,14
2020-06-10,7640,91300,424,97,14
2020-06-11,7595,91300,424,97,13
2020-06-12,7193,91300,424,97,13
2020-06-13,6630,91400,424,97,13
2020-06-14,8042,91400,424,97,13
2020-06-15,9958,91400,425,97,13
2020-06-16,8980,91400,426,97,13
2020-06-17,7368,91500,426,97,13
2020-06-18,7222,91500,426,97,13
2020-06-19,7639,91600,426,97,13
2020-06-20,7071,91600,426,97,13
2020-06-21,7435,91600,426,97,13
2020-06-22,9989,91600,428,97,13
2020-06-23,7957,91700,428,97,13
2020-06-24,6999,91700,427,97,13
2020-06-25,7760,91700,427,97,13
2020-06-26,7138,91800,427,97,13
2020-06-27,7014,91800,427,97,13
2020-06-28,8009,91800,427,97,13
2020-06-29,9409,91900,428,97,13
2020-06-30,9543,91900,428,97,13
2020-07-01,8150,92000,428,97,13
2020-07-02,7303,92000,428,97,13
2020-07-03,7236,92100,428,97,13
2020-07-04,7408,92100,428,97,13
2020-07-05,7972,92100,428,97,12
2020-07-06,8350,92200,428,97,12
2020-07-07,6908,92200,429,97,12
2020-07-08,7783,92200,429,97,12
2020-07-09,8154,92300,429,97,12
2020-07-10,7616,92300,430,97,12
2020-07-11,7368,92300,430,97,12
2020-07-12,7731,92300,430,97,12
2020-07-13,9146,92400,430,97,12
2020-07-14,8370,92500,430,97,12
2020-07-15,8188,92500,430,97,12
2020-07-16,7148,92500,430,97,12
2020-07-17,8697,92600,431,97,12
2020-07-18,8411,92600,431,97,12
2020-07-19,8343,92600,431,97,12
2020-07-20,9408,92700,431,97,12
2020-07-21,7844,92700,431,97,12
2020-07-22,8222,92800,432,97,12
2020-07-23,8482,92800,432,97,12
2020-07-24,9053,92800,433,97,12
2020-07-25,7973,92900,433,97,12
2020-07-26,7908,92900,433,97,12
2020-07-27,7644,93000,433,97,12
2020-07-28,7164,93000,433,97,11
2020-07-29,9450,93000,420,97,12
2020-07-30,9203,93100,420,97,10
2020-07-31,0,93100,420,97,10
2020-08-01,6580,93100,420,97,10
2020-08-02,7599,93200,420,97,10
2020-08-03,8653,93200,421,97,10
2020-08-04,7804,93200,421,97,10
2020-08-05,7484,93200,421,97,10
2020-08-06,6944,93300,421,97,10
2020-08-07,6846,93300,421,97,10
2020-08-08,6359,93300,421,97,10
2020-08-09,7060,93300,421,97,10
2020-08-10,7962,93300,421,97,10
2020-08-11,6615,93300,421,97,10
2020-08-12,6611,93300,421,97,10
2020-08-13,6256,93300,421,97,10
2020-08-14,7980,93300,422,97,10
2020-08-15,8657,93400,422,97,10
2020-08-16,8097,93400,422,97,10
2020-08-17,7402,93500,422,97,10
2020-08-18,7145,93500,422,97,10
2020-08-19,6592,93500,422,97,10
2020-08-20,6172,93600,422,97,10
2020-08-21,6326,93600,422,97,10
2020-08-22,6879,93700,422,97,10
2020-08-23,7733,93700,422,97,10
2020-08-24,11427,93700,423,97,10
2020-08-25,9600,93800,423,97,10
2020-08-26,7771,93800,423,97,10
2020-08-27,7701,93900,423,97,14
2020-08-28,7940,93900,423,97,10
2020-08-29,7621,94000,423,97,10
2020-08-30,8813,94000,423,97,9
2020-08-31,9071,94100,423,97,9
2020-09-01,7830,94200,422,97,9
2020-09-02,2538,94200,422,97,9
2020-09-03,7919,94300,422,97,9
2020-09-04,8695,94300,423,97,9
2020-09-05,7605,94300,423,97,9
2020-09-06,8506,94400,423,97,9
2020-09-07,9727,94400,423,97,9
2020-09-08,8915,94500,423,97,9
2020-09-09,7810,94500,423,97,9
2020-09-10,9215,94500,424,97,9
2020-09-11,9299,94600,424,97,9
2020-09-12,8323,94600,424,97,9
2020-09-13,9893,94700,424,97,9
2020-09-14,8693,94700,424,97,9
2020-09-15,7686,94800,424,97,9
2020-09-16,7147,94800,424,97,8
2020-09-17,7747,94900,424,97,8
2020-09-18,7281,94900,424,97,8
2020-09-19,6969,94900,424,97,8
2020-09-20,7911,95000,424,97,8
2020-09-21,7987,95000,424,97,8
2020-09-22,7308,95000,424,97,8
2020-09-23,7048,95100,424,97,8
2020-09-24,6634,95100,424,97,8
2020-09-25,7628,95100,425,97,8
2020-09-26,7502,95200,425,97,8
2020-09-27,7784,95200,425,97,8
2020-09-28,7810,95200,425,97,8
2020-09-29,7039,95300,425,97,8
2020-09-30,5420,95300,425,97,8
2020-10-01,8061,95300,426,97,9
2020-10-02,9961,95400,426,97,9
2020-10-03,7800,95400,426,97,9
2020-10-04,4275,95400,426,97,9
2020-10-05,12561,95500,426,97,9
2020-10-06,7440,95500,426,97,9
2020-10-07,7955,95600,426,97,8
2020-10-08,7651,95600,426,97,9
2020-10-09,7025,95700,426,97,9
2020-10-10,7384,95700,426,97,9
2020-10-11,7247,95700,426,97,9
2020-10-12,7564,95800,426,97,9
2020-10-13,6735,95800,426,97,9
2020-10-14,6342,95900,426,97,9
2020-10-15,1862,95900,426,97,9
2020-10-16,11033,95900,426,97,9
2020-10-17,5681,95900,426,97,9
2020-10-18,6363,96000,426,97,9
2020-10-19,6417,96000,426,97,9
2020-10-20,6187,96000,426,97,9
2020-10-21,5600,96100,426,97,9
2020-10-22,5562,96100,426,97,9
2020-10-23,6241,96100,426,97,9
2020-10-24,5697,96200,426,97,9
2020-10-25,5838,96200,426,97,9
2020-10-26,6221,96200,426,97,9
2020-10-27,5677,96200,426,97,9
2020-10-28,6188,96300,426,97,9
2020-10-29,5583,96300,426,97,9
2020-10-30,6055,96300,426,97,9
2020-10-31,5555,96400,426,97,9
2020-11-01,6360,96400,427,97,9
2020-11-02,7649,96400,427,97,9
2020-11-03,5826,96400,427,97,9
2020-11-04,5995,96400,427,97,9
2020-11-05,5434,96500,427,97,9
2020-11-06,5358,96500,427,97,9
2020-11-07,5483,96500,427,97,9
2020-11-08,6797,96500,428,97,9
2020-11-09,8401,96500,428,97,9
2020-11-10,5191,96600,428,97,9
2020-11-11,5989,96600,428,97,9
2020-11-12,5129,96600,428,97,9
2020-11-13,4978,96600,428,97,9
2020-11-14,5109,96600,428,97,9
2020-11-15,6094,96600,429,97,9
2020-11-16,6933,96700,429,97,9
2020-11-17,5277,96700,429,97,9
2020-11-18,5362,96700,429,97,9
2020-11-19,5569,96800,429,97,9
2020-11-20,5618,96800,430,97,9
2020-11-21,5142,96800,430,96,9
2020-11-22,4854,96800,430,96,9
2020-11-23,6835,96800,430,96,9
2020-11-24,6012,96900,430,96,9
2020-11-25,5566,96900,430,96,9
2020-11-26,5496,96900,430,96,8
2020-11-27,6110,96900,430,96,8
2020-11-28,7385,96900,431,96,8
2020-11-29,7389,96900,431,96,8
2020-11-30,7158,96900,431,96,8
2020-12-01,6006,97000,431,96,8
2020-12-02,6839,97000,431,96,8
2020-12-03,6269,97000,431,96,8
2020-12-04,6486,97100,431,96,8
2020-12-05,6389,97100,432,96,8
2020-12-06,7358,97100,432,96,8
2020-12-07,7928,97100,432,96,8
2020-12-08,7586,97200,432,96,8
2020-12-09,7720,97200,432,96,8
2020-12-10,7012,97200,432,96,8
2020-12-11,7187,97300,432,96,8
2020-12-12,7088,97300,432,96,8
2020-12-13,7801,97300,432,96,8
2020-12-14,8322,97400,432,96,8
2020-12-15,6616,97400,432,96,8
2020-12-16,7712,97400,432,96,8
2020-12-17,7428,97500,432,96,8
2020-12-18,7100,97500,432,96,8
2020-12-19,7709,97500,432,96,8
2020-12-20,8371,97600,432,96,8
2020-12-21,9525,97600,433,96,8
2020-12-22,8494,97600,433,96,8
2020-12-23,8384,97700,433,96,8
2020-12-24,7571,97700,433,96,8
2020-12-25,7612,97800,433,96,8
2020-12-26,8377,97800,433,96,8
2020-12-27,9021,97900,433,96,7
2020-12-28,10176,97900,434,96,7
2020-12-29,10625,97900,435,96,7
2020-12-30,9901,98000,435,96,7
2020-12-31,9341,98000,435,96,7
2021-01-01,8602,98100,435,96,7
2021-01-02,9499,98100,435,96,7
2021-01-03,9244,98200,435,96,7
2021-01-04,9049,98200,435,96,6
2021-01-05,7469,98300,435,96,6
2021-01-06,7939,98300,435,96,6
2021-01-07,7978,98400,435,96,6
2021-01-08,7862,98400,435,96,7
2021-01-09,7934,98500,435,96,7
2021-01-10,8839,98500,435,96,7
