searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-01-09,940,17600,14,98,25
2020-01-10,875,17700,14,98,25
2020-01-11,852,17800,14,98,25
2020-01-12,701,17800,14,98,25
2020-01-13,897,17900,14,98,25
2020-01-14,801,17900,14,98,25
2020-01-15,798,17900,14,98,26
2020-01-16,771,18000,14,98,25
2020-01-17,834,18000,14,98,26
2020-01-18,710,18100,14,98,25
2020-01-19,661,18100,14,98,24
2020-01-20,923,18200,14,98,27
2020-01-21,938,18200,14,98,27
2020-01-22,2285,18400,15,98,37
2020-01-23,1876,18500,15,98,34
2020-01-24,1309,18600,15,98,29
2020-01-25,1050,18700,15,98,27
2020-01-26,1087,18800,15,98,28
2020-01-27,1127,18900,15,98,28
2020-01-28,1361,19000,15,98,29
2020-01-29,1360,19100,15,98,29
2020-01-30,1312,19100,15,98,29
2020-01-31,1196,19200,15,98,28
2020-02-01,1132,19300,15,98,28
2020-02-02,1354,19400,15,98,29
2020-02-03,1407,19500,15,98,29
2020-02-04,1444,19600,15,98,29
2020-02-05,1547,19700,15,98,30
2020-02-06,1371,19800,15,98,29
2020-02-07,1141,19800,15,98,28
2020-02-08,1225,19900,15,98,28
2020-02-09,1411,20000,15,98,29
2020-02-10,1634,20100,15,98,31
2020-02-11,1738,20200,15,98,32
2020-02-12,1725,20300,15,98,32
2020-02-13,1529,20400,15,98,30
2020-02-14,1523,20500,15,98,30
2020-02-15,1871,20700,15,98,33
2020-02-16,1891,20800,15,98,33
2020-02-17,1797,20900,15,98,32
2020-02-18,1750,21000,15,98,31
2020-02-19,1581,21100,15,98,30
2020-02-20,1593,21200,15,98,30
2020-02-21,1814,21300,15,98,32
2020-02-22,1714,21400,15,98,31
2020-02-23,1497,21500,15,98,29
2020-02-24,1720,21500,15,98,31
2020-02-25,1837,21600,15,98,32
2020-02-26,2212,21800,15,98,34
2020-02-27,2280,21900,15,98,35
2020-02-28,1941,22000,15,98,32
2020-02-29,1874,22100,15,98,32
2020-03-01,1973,22200,15,98,32
2020-03-02,2413,22300,15,98,35
2020-03-03,2926,22500,15,98,38
2020-03-04,3420,22700,15,98,40
2020-03-05,3692,22900,15,98,41
2020-03-06,4064,23100,15,98,43
2020-03-07,3176,23200,15,98,39
2020-03-08,4456,23300,15,98,44
2020-03-09,5847,23600,15,98,48
2020-03-10,5351,23900,15,98,46
2020-03-11,4894,24100,15,98,34
2020-03-12,4965,24300,15,98,35
2020-03-13,5906,24500,15,98,35
2020-03-14,4764,24700,15,98,36
2020-03-15,3393,24800,15,98,36
2020-03-16,3062,25000,15,98,37
2020-03-17,3086,25100,15,98,37
2020-03-18,2938,25200,15,98,74
2020-03-19,2562,25300,15,98,74
2020-03-20,2556,25400,15,98,74
2020-03-21,2394,25500,15,98,74
2020-03-22,2211,25600,15,98,74
2020-03-23,2101,25700,15,98,75
2020-03-24,2476,25900,15,98,74
2020-03-25,2911,26000,15,98,75
2020-03-26,2927,26100,15,98,75
2020-03-27,2724,26200,15,98,75
2020-03-28,2497,26300,15,98,75
2020-03-29,2379,26400,15,98,75
2020-03-30,2790,26500,15,98,75
2020-03-31,3073,26600,15,98,75
2020-04-01,2764,26800,15,98,75
2020-04-02,2440,26900,15,98,75
2020-04-03,2457,27000,15,98,75
2020-04-04,1904,27100,15,98,75
2020-04-05,2499,27300,15,98,75
2020-04-06,2773,27500,15,98,75
2020-04-07,5341,27800,16,98,75
2020-04-08,3963,28000,16,98,75
2020-04-09,3205,28200,16,98,75
2020-04-10,2818,28300,16,98,75
2020-04-11,2566,28500,16,98,75
2020-04-12,2316,28600,16,98,75
2020-04-13,3887,28700,16,98,74
2020-04-14,3388,28900,16,98,74
2020-04-15,2467,29000,16,98,74
2020-04-16,2598,29100,16,98,74
2020-04-17,2056,29100,16,98,74
2020-04-18,1896,29200,16,98,74
2020-04-19,1635,29300,16,98,74
2020-04-20,2173,29400,16,98,74
2020-04-21,2048,29400,16,98,74
2020-04-22,2569,29600,16,98,74
2020-04-23,2427,29700,16,98,74
2020-04-24,2149,29900,16,98,74
2020-04-25,1939,30000,16,98,74
2020-04-26,1832,30100,16,98,74
2020-04-27,1798,30200,16,98,74
2020-04-28,2148,30400,16,98,74
2020-04-29,1920,30500,16,98,74
2020-04-30,1570,30600,16,98,74
2020-05-01,1249,30600,16,98,74
2020-05-02,1329,30700,16,98,74
2020-05-03,1172,30700,16,98,74
2020-05-04,1409,30800,16,98,74
2020-05-05,1118,30900,16,98,74
2020-05-06,1253,30900,16,98,74
2020-05-07,1189,31000,16,98,74
2020-05-08,1288,31100,16,98,74
2020-05-09,1018,31100,16,98,74
2020-05-10,1086,31200,16,98,74
2020-05-11,1406,31300,16,98,74
2020-05-12,1494,31300,16,98,74
2020-05-13,1358,31400,16,98,74
2020-05-14,1336,31400,16,98,74
2020-05-15,1191,31500,16,98,74
2020-05-16,1029,31600,16,98,74
2020-05-17,916,31600,16,98,74
2020-05-18,1259,31700,16,98,74
2020-05-19,1516,31700,16,98,74
2020-05-20,2585,31800,19,98,74
2020-05-21,3816,32100,19,98,73
2020-05-22,3126,32200,19,98,73
2020-05-23,2127,32300,19,98,73
2020-05-24,1879,32400,19,98,73
2020-05-26,4649,32800,19,98,71
2020-05-28,5400,33100,18,98,70
2020-05-29,3352,33300,19,98,70
2020-05-30,2733,33400,19,99,70
2020-05-31,2093,33500,18,99,70
2020-06-01,2637,33700,18,98,69
2020-06-02,2311,33800,19,98,69
2020-06-03,2289,33900,19,98,69
2020-06-04,2347,34000,19,98,68
2020-06-05,2540,34200,19,98,68
2020-06-06,2121,34300,19,98,68
2020-06-07,1789,34300,19,98,68
2020-06-08,1767,34400,19,98,68
2020-06-09,2560,34500,19,98,68
2020-06-10,2624,34700,19,98,68
2020-06-11,2169,34800,19,98,68
2020-06-12,6793,35300,20,99,67
2020-06-13,5306,35700,20,98,67
2020-06-14,3860,35900,20,98,67
2020-06-15,4149,36200,20,99,67
2020-06-16,3895,36400,20,99,67
2020-06-17,3325,36500,20,99,66
2020-06-18,5224,36900,22,99,65
2020-06-19,4503,37100,21,99,65
2020-06-20,3325,37300,21,99,65
2020-06-21,2466,37400,21,99,65
2020-06-22,2420,37400,21,99,65
2020-06-23,2959,37600,21,99,65
2020-06-24,3107,37700,21,99,64
2020-06-25,3243,37800,21,99,64
2020-06-26,3179,38000,21,99,64
2020-06-27,2194,38100,21,99,64
2020-06-28,1766,38200,21,99,64
2020-06-29,1970,38300,21,99,64
2020-06-30,2547,38500,21,99,64
2020-07-01,2780,38700,21,99,64
2020-07-02,4058,38900,22,99,64
2020-07-03,3916,39000,22,99,64
2020-07-04,2349,39000,21,99,64
2020-07-05,1648,39100,22,99,62
2020-07-06,1893,39100,22,99,62
2020-07-07,2555,39200,22,99,62
2020-07-08,2333,39300,22,99,61
2020-07-09,3310,39300,23,99,61
2020-07-10,2529,39400,23,99,61
2020-07-11,7224,39900,24,99,61
2020-07-12,3358,40000,24,99,61
2020-07-13,4083,40400,24,99,61
2020-07-14,11403,41400,24,99,60
2020-07-15,8592,41900,24,99,58
2020-07-16,9023,42500,25,99,58
2020-07-17,8414,43000,25,99,57
2020-07-18,6771,43300,25,99,57
2020-07-19,4627,43600,25,99,55
2020-07-20,6351,44000,25,99,55
2020-07-21,8170,44500,25,99,55
2020-07-22,8257,44900,25,99,54
2020-07-23,7948,45300,25,99,54
2020-07-24,8261,45700,26,99,54
2020-07-25,8902,46000,26,99,54
2020-07-26,5716,46200,26,99,54
2020-07-27,6041,46500,26,99,54
2020-07-28,8739,47000,26,99,54
2020-07-29,9884,47400,26,99,54
