searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2019-11-14,138527,463000,96,96,93
2019-11-15,447397,464000,96,96,93
2019-11-16,474562,464000,96,96,93
2019-11-17,223403,465000,96,96,93
2019-11-18,298252,466000,96,96,93
2019-11-19,154608,466000,96,96,94
2019-11-20,140565,466000,96,96,93
2019-11-21,111464,467000,96,96,93
2019-11-22,114146,467000,96,96,93
2019-11-23,124239,468000,96,96,93
2019-11-24,180004,468000,96,96,93
2019-11-25,169587,468000,96,96,93
2019-11-26,106857,468000,96,96,93
2019-11-27,97334,469000,96,96,93
2019-11-28,67520,469000,96,96,92
2019-11-29,74832,469000,96,96,93
2019-11-30,69609,471000,97,97,91
2019-12-01,546212,472000,97,97,92
2019-12-02,360690,472000,97,97,65
2019-12-03,124638,473000,97,96,49
2019-12-04,116924,473000,98,96,48
2019-12-05,141798,473000,98,96,51
2019-12-06,139432,474000,98,96,50
2019-12-07,113193,474000,98,96,47
2019-12-08,172927,475000,99,96,53
2019-12-09,416554,475000,99,96,67
2019-12-10,148547,476000,99,96,51
2019-12-11,135025,476000,99,96,50
2019-12-12,161171,477000,100,96,52
2019-12-13,328120,478000,100,96,63
2019-12-14,305703,478000,100,96,62
2019-12-15,192675,479000,101,97,55
2019-12-16,615895,480000,101,96,72
2019-12-17,412304,480000,101,96,66
2019-12-18,149340,481000,102,96,51
2019-12-19,131799,481000,102,96,49
2019-12-20,128251,481000,102,96,49
2019-12-21,113853,481000,102,96,47
2019-12-22,137238,483000,103,96,50
2019-12-23,710662,483000,103,96,74
2019-12-24,275209,483000,103,96,60
2019-12-25,65037,483000,103,96,39
2019-12-26,109952,484000,104,96,46
2019-12-27,93769,484000,104,96,44
2019-12-28,48312,484000,104,96,34
2019-12-29,71886,484000,104,96,40
2019-12-30,76093,484000,105,96,41
2019-12-31,133907,484000,105,96,49
2020-01-01,73087,484000,105,96,40
2020-01-02,60100,484000,105,96,37
2020-01-03,66877,484000,106,96,39
2020-01-04,163934,484000,106,96,52
2020-01-05,168706,484000,106,96,53
2020-01-06,189894,485000,106,96,55
2020-01-07,327520,485000,107,96,63
2020-01-08,287522,486000,107,96,61
2020-01-09,198299,486000,107,96,55
2020-01-10,152615,486000,107,96,51
2020-01-11,136258,487000,107,96,49
2020-01-12,559220,488000,108,96,71
2020-01-13,474062,489000,108,96,68
2020-01-14,231190,489000,108,96,57
2020-01-15,189552,490000,108,96,54
2020-01-16,149989,490000,108,96,51
2020-01-17,409032,491000,109,96,66
2020-01-18,250164,492000,109,96,58
2020-01-19,245000,492000,109,96,58
2020-01-20,219661,493000,109,96,56
2020-01-21,706927,494000,110,96,74
2020-01-22,303286,495000,110,96,61
2020-01-23,198380,495000,110,96,55
2020-01-24,189761,495000,110,96,54
2020-01-25,183054,495000,111,96,54
2020-01-26,147785,495000,111,96,50
2020-01-27,108393,495000,111,96,46
2020-01-28,103836,495000,111,96,45
2020-01-29,223937,495000,112,96,57
2020-01-30,159415,495000,112,96,52
2020-01-31,87292,495000,112,96,43
2020-02-01,83541,495000,112,96,42
2020-02-02,221698,496000,113,96,56
2020-02-03,185160,496000,113,96,54
2020-02-04,128282,496000,113,96,48
2020-02-05,104841,496000,113,96,45
2020-02-06,86174,496000,113,96,42
2020-02-07,174692,496000,114,96,53
2020-02-08,298427,497000,114,96,61
2020-02-09,216505,497000,114,96,56
2020-02-10,185871,498000,114,96,54
2020-02-11,130751,498000,114,96,49
2020-02-12,96193,498000,114,96,44
2020-02-13,84005,498000,114,96,42
2020-02-14,83547,498000,114,96,42
2020-02-15,74141,498000,114,96,40
2020-02-16,85700,498000,114,96,42
2020-02-17,79512,498000,114,96,41
2020-02-18,267105,499000,115,96,59
2020-02-19,495103,501000,115,97,68
2020-02-20,443982,503000,115,97,67
2020-02-21,267608,504000,115,97,59
2020-02-22,173575,505000,115,97,53
2020-02-23,169249,505000,115,97,52
2020-02-24,1807536,514000,116,97,87
2020-02-25,1141328,520000,116,97,80
2020-02-26,721338,523000,116,97,73
2020-02-27,478547,525000,116,97,67
2020-02-28,267031,526000,116,97,58
2020-02-29,212660,526000,116,97,55
2020-03-01,220625,527000,116,97,56
2020-03-02,194695,527000,116,97,54
2020-03-03,141587,527000,116,97,49
2020-03-04,118911,527000,116,97,46
2020-03-05,66226,527000,116,97,37
2020-03-06,55257,527000,116,97,35
2020-03-07,65017,527000,116,97,37
2020-03-08,122900,527000,117,96,47
2020-03-09,113823,527000,117,96,46
2020-03-10,102131,527000,117,96,44
2020-03-11,124666,528000,117,96,59
2020-03-12,97946,528000,117,96,59
2020-03-13,81805,528000,117,96,59
2020-03-14,122111,527000,118,96,59
2020-03-15,145929,528000,118,96,59
2020-03-16,149423,528000,118,96,59
2020-03-17,112708,528000,118,96,59
2020-03-18,96496,528000,118,96,82
2020-03-19,207728,527000,119,96,83
2020-03-20,113485,527000,119,96,82
2020-03-21,66879,527000,119,96,82
2020-03-22,61362,527000,119,96,82
2020-03-23,65827,527000,119,96,83
2020-03-24,56664,527000,119,96,83
2020-03-25,58331,527000,119,96,83
2020-03-26,48239,527000,119,96,83
2020-03-27,43581,526000,119,96,83
2020-03-28,37596,526000,119,96,83
2020-03-29,36397,526000,119,96,83
2020-03-30,38479,526000,119,96,83
2020-03-31,38213,526000,119,96,83
2020-04-01,36244,526000,119,96,83
2020-04-02,62818,525000,120,96,83
2020-04-03,67772,525000,120,96,83
2020-04-04,55847,525000,120,96,83
2020-04-05,61959,525000,120,96,83
2020-04-06,115239,525000,121,96,83
2020-04-07,86402,525000,121,96,83
2020-04-08,65803,525000,121,96,82
2020-04-09,63962,525000,121,96,82
2020-04-10,66376,525000,121,96,82
2020-04-11,137866,524000,122,96,82
2020-04-12,87446,525000,122,96,82
2020-04-13,95640,524000,122,96,82
2020-04-14,77997,524000,122,96,82
2020-04-15,79887,525000,122,96,82
2020-04-16,95217,525000,122,96,82
2020-04-17,82318,525000,122,96,80
2020-04-18,99661,525000,122,96,80
2020-04-19,182645,525000,123,97,80
2020-04-20,339021,525000,123,97,81
2020-04-21,248454,526000,123,97,81
2020-04-22,240653,526000,123,97,81
2020-04-23,253312,527000,123,97,81
2020-04-24,224720,527000,123,97,81
2020-04-25,213971,528000,123,97,81
2020-04-26,247071,528000,123,97,81
2020-04-27,300239,529000,123,97,81
2020-04-28,251229,529000,123,97,81
