searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2020-02-14,19743,52200,17,0,54
2020-02-15,23929,52300,18,0,57
2020-02-16,26015,52500,18,0,58
2020-02-17,25312,52600,18,0,58
2020-02-18,25040,52800,18,0,57
2020-02-19,18438,52900,18,0,53
2020-02-20,21177,53100,18,93,55
2020-02-21,18918,53300,18,93,53
2020-02-22,20259,53400,19,93,54
2020-02-23,33348,53600,20,93,61
2020-02-24,39884,54000,20,93,64
2020-02-25,35010,54300,20,93,62
2020-02-26,32729,54500,21,93,61
2020-02-27,29585,54800,21,93,59
2020-02-28,24877,54900,22,93,57
2020-02-29,21272,55000,22,93,54
2020-03-01,23378,55200,23,93,56
2020-03-02,22463,55400,23,93,55
2020-03-03,22353,55500,24,93,55
2020-03-04,22616,55700,24,93,55
2020-03-05,22497,55800,25,93,55
2020-03-06,26439,56000,24,93,57
2020-03-07,23633,56100,24,93,56
2020-03-08,15993,56400,24,93,50
2020-03-09,28222,56600,24,93,58
2020-03-10,23007,56700,24,93,55
2020-03-11,28241,57000,24,93,58
2020-03-12,20711,57100,24,93,53
2020-03-13,17261,57200,24,93,51
2020-03-14,18063,57300,24,93,51
2020-03-15,19976,57500,24,93,56
2020-03-16,24522,57700,24,93,56
2020-03-17,23297,57900,24,93,56
2020-03-18,23084,58100,24,93,95
2020-03-19,23097,58300,24,93,95
2020-03-20,24728,58500,24,93,95
2020-03-21,22443,58700,24,93,95
2020-03-22,24453,58900,24,93,95
2020-03-23,29584,59100,24,93,96
2020-03-24,23455,59300,24,93,97
2020-03-25,28493,59400,25,93,97
2020-03-26,24246,59600,25,93,97
2020-03-27,20356,59800,25,93,97
2020-03-28,16559,59900,25,93,97
2020-03-29,15349,60000,25,93,97
2020-03-30,16161,60200,25,93,97
2020-03-31,15055,60300,25,93,97
2020-04-01,11198,60400,25,93,97
2020-04-02,10485,60400,25,93,97
2020-04-03,10886,60500,25,93,97
2020-04-04,8093,60500,25,93,97
2020-04-05,9761,60600,25,93,97
2020-04-06,11359,60700,25,93,97
2020-04-07,9377,60700,25,93,97
2020-04-08,8914,60800,25,93,97
2020-04-09,9532,60900,25,93,97
2020-04-10,8739,60900,25,93,97
2020-04-11,13942,61000,26,93,97
2020-04-12,12006,61100,26,93,97
2020-04-13,13842,61200,26,94,97
2020-04-14,9238,61200,26,94,97
2020-04-15,8754,61300,25,94,97
2020-04-16,8638,61300,25,94,97
2020-04-17,0,61400,25,94,96
2020-04-18,16228,61500,25,94,96
2020-04-19,15183,61600,26,94,96
2020-04-20,21493,61800,26,94,96
2020-04-21,29227,62000,26,94,96
2020-04-22,27691,62200,26,94,96
2020-04-23,25305,62400,26,94,96
2020-04-24,25614,62600,27,94,96
2020-04-25,20820,62700,27,94,96
2020-04-26,17502,62900,27,94,96
2020-04-27,13675,63000,27,94,96
2020-04-28,10683,63100,27,94,93
2020-04-29,19947,63300,28,94,93
2020-04-30,22248,63400,28,94,92
2020-05-01,24184,63600,28,94,92
2020-05-02,21581,63800,29,94,92
2020-05-03,18929,63900,29,94,93
2020-05-04,21386,64100,29,94,93
2020-05-05,14787,64200,29,94,92
2020-05-06,14035,64300,29,94,92
2020-05-07,21814,64400,30,94,92
2020-05-08,25684,64600,30,94,91
2020-05-09,18814,64700,31,94,91
2020-05-10,14256,64800,31,94,91
2020-05-11,16142,64900,31,94,91
2020-05-12,11549,64900,29,94,91
2020-05-13,12424,65000,30,94,91
2020-05-14,0,65100,30,94,91
2020-05-15,10218,65100,30,94,86
2020-05-16,11585,65200,33,94,86
2020-05-17,27769,65200,33,94,87
2020-05-18,9691,65300,33,94,87
2020-05-19,8720,65300,33,94,86
2020-05-20,9568,65400,33,94,86
2020-05-21,12625,65400,33,94,86
2020-05-22,18884,65500,34,94,86
2020-05-23,19131,65600,34,94,86
2020-05-24,21427,65700,34,94,86
2020-05-25,31309,65900,34,94,86
2020-05-26,26995,66100,34,94,86
2020-05-27,24907,66200,34,94,86
2020-05-28,24136,66300,34,94,85
2020-05-29,30181,66500,34,94,85
2020-05-30,29438,66700,34,94,85
2020-05-31,32818,66800,36,94,85
2020-06-01,33982,67000,35,94,85
2020-06-02,27758,67100,35,94,85
2020-06-03,25901,67300,35,94,85
2020-06-04,25195,67500,35,94,86
2020-06-05,20067,67600,35,94,86
2020-06-06,18778,67700,36,94,86
2020-06-07,20244,67800,36,94,86
2020-06-08,16270,67900,36,94,86
2020-06-09,12246,68000,36,94,86
2020-06-10,10941,68000,36,94,86
2020-06-11,10854,68100,36,94,86
2020-06-12,10687,68200,36,94,86
2020-06-13,6704,68200,36,94,86
2020-06-14,5911,68200,36,94,86
2020-06-15,7588,68300,36,94,86
2020-06-16,7827,68300,37,94,86
2020-06-17,6844,68300,37,94,86
2020-06-18,4354,68300,37,94,86
2020-06-19,3337,68300,37,94,86
2020-06-20,3170,68300,37,94,86
2020-06-21,3103,68300,37,94,86
2020-06-22,6650,68300,39,94,86
2020-06-23,5743,68400,39,94,86
2020-06-24,4065,68400,38,94,86
2020-06-25,7375,68400,35,94,86
2020-06-26,0,68400,36,94,86
2020-06-27,5417,68400,37,94,86
2020-06-28,6269,68400,38,94,85
2020-06-29,9541,68400,39,94,85
2020-06-30,5987,68400,39,94,85
2020-07-01,4206,68400,39,94,84
2020-07-02,3720,68400,39,94,84
2020-07-03,3126,68400,33,94,81
2020-07-04,0,68400,34,94,78
2020-07-05,5370,68400,34,94,76
2020-07-06,3421,68400,34,94,76
2020-07-07,2627,68400,34,94,76
2020-07-08,4605,68400,35,95,76
2020-07-09,3607,68400,35,95,76
2020-07-10,4010,68400,36,95,76
2020-07-11,3030,68400,36,95,76
2020-07-12,3044,68400,36,95,76
2020-07-13,3369,68400,36,95,76
2020-07-14,2757,68400,36,95,61
2020-07-15,2744,68500,36,95,61
2020-07-16,4435,68500,37,95,60
2020-07-17,3810,68500,37,95,60
2020-07-18,3252,68500,37,95,60
2020-07-19,3005,68500,37,95,60
2020-07-20,7798,68500,38,95,60
2020-07-21,7882,68500,38,95,60
2020-07-22,7155,68600,38,95,60
2020-07-23,10945,68600,39,95,60
2020-07-24,10544,68700,39,95,60
2020-07-25,8980,68800,39,95,60
2020-07-26,12625,68900,39,95,60
2020-07-27,20639,69100,40,95,60
2020-07-28,19782,69300,40,95,60
2020-07-29,24812,69500,40,95,60
2020-07-30,24877,69700,41,94,60
2020-07-31,19541,69900,41,94,60
2020-08-01,29737,70100,41,94,61
2020-08-02,33923,70400,41,94,59
2020-08-03,37147,70700,42,94,60
2020-08-04,20334,70800,42,94,60
2020-08-05,14825,70900,42,94,60
2020-08-06,18996,71100,43,94,60
2020-08-07,17350,71300,43,94,61
2020-08-08,13472,71400,43,94,61
2020-08-09,14712,71600,43,94,60
2020-08-10,21787,71700,44,94,60
2020-08-11,17887,71800,44,94,60
2020-08-12,16011,71900,44,94,61
2020-08-13,20553,72000,45,94,61
2020-08-14,18293,72100,45,94,61
2020-08-15,18082,72300,45,94,61
2020-08-16,19607,72400,45,94,61
2020-08-17,23577,72500,46,94,61
2020-08-18,22578,72700,46,94,61
2020-08-19,20321,72800,46,94,59
2020-08-20,24839,72900,47,94,59
2020-08-21,26349,73100,47,94,59
2020-08-22,23849,73200,47,94,59
2020-08-23,23586,73400,47,94,59
2020-08-24,31269,73500,48,94,59
2020-08-25,23978,73700,48,93,60
2020-08-26,21484,73800,48,93,54
2020-08-27,28403,74000,49,94,90
2020-08-28,32978,74200,49,94,64
