searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2019-11-14,58069,833000,220,98,80
2019-11-15,56418,833000,220,98,80
2019-11-16,61558,833000,220,98,80
2019-11-17,83556,832000,220,98,80
2019-11-18,83741,832000,220,98,80
2019-11-19,53964,832000,220,98,80
2019-11-20,56301,832000,220,98,80
2019-11-21,52705,832000,220,98,80
2019-11-22,45967,832000,220,98,80
2019-11-23,48127,832000,220,98,80
2019-11-24,75319,832000,220,98,80
2019-11-25,80861,832000,220,98,80
2019-11-26,52039,832000,220,98,80
2019-11-27,57425,832000,220,98,80
2019-11-28,43626,832000,220,98,80
2019-11-29,50391,832000,220,98,82
2019-11-30,52095,832000,220,98,80
2019-12-01,67286,832000,220,98,80
2019-12-02,70282,832000,220,98,32
2019-12-03,47542,831000,220,98,26
2019-12-04,41741,831000,220,98,24
2019-12-05,44518,831000,220,98,25
2019-12-06,43137,831000,220,98,24
2019-12-07,48384,831000,220,98,26
2019-12-08,75896,831000,220,98,33
2019-12-09,77305,831000,220,98,33
2019-12-10,38678,831000,220,98,23
2019-12-11,56641,831000,220,98,28
2019-12-12,46092,831000,220,98,25
2019-12-13,45800,831000,220,98,25
2019-12-14,48781,830000,220,98,26
2019-12-15,75205,830000,220,98,33
2019-12-16,72854,830000,220,98,32
2019-12-17,46278,830000,220,98,25
2019-12-18,43705,830000,220,98,24
2019-12-19,43516,830000,220,98,24
2019-12-20,44817,830000,220,98,25
2019-12-21,51533,830000,220,98,27
2019-12-22,70070,830000,220,98,31
2019-12-23,72232,830000,220,98,32
2019-12-24,49991,830000,220,98,26
2019-12-25,32604,829000,220,98,20
2019-12-26,89438,829000,221,98,35
2019-12-27,116468,829000,221,98,39
2019-12-28,37153,829000,221,98,22
2019-12-29,66948,829000,221,98,31
2019-12-30,86167,829000,221,98,35
2019-12-31,89754,829000,221,98,35
2020-01-01,73042,829000,221,98,32
2020-01-02,70415,829000,221,98,32
2020-01-03,95646,829000,221,98,36
2020-01-04,83903,829000,221,98,34
2020-01-05,85197,829000,221,98,34
2020-01-06,98304,829000,221,98,37
2020-01-07,93441,829000,221,98,36
2020-01-08,87516,829000,221,98,35
2020-01-09,101056,828000,221,98,37
2020-01-10,109254,829000,221,98,38
2020-01-11,113133,829000,221,98,39
2020-01-12,118252,829000,221,98,39
2020-01-13,109198,829000,221,98,38
2020-01-14,98908,828000,221,98,37
2020-01-15,101814,828000,221,98,37
2020-01-16,99823,828000,221,98,37
2020-01-17,99302,828000,221,98,37
2020-01-18,107511,828000,221,98,38
2020-01-19,101664,828000,222,98,37
2020-01-20,473892,829000,222,98,60
2020-01-21,164556,829000,222,98,44
2020-01-22,137069,829000,222,98,42
2020-01-23,0,829000,221,98,15
2020-01-24,110799,829000,221,98,38
2020-01-25,382032,830000,222,98,57
2020-01-26,200435,830000,222,98,47
2020-01-27,140674,830000,222,98,42
2020-01-28,130228,830000,223,98,41
2020-01-29,357650,830000,223,98,56
2020-01-30,140882,830000,223,98,42
2020-01-31,119296,830000,223,98,39
2020-02-01,102611,830000,223,98,37
2020-02-02,215091,830000,224,98,48
2020-02-03,311804,829000,224,98,54
2020-02-04,137914,829000,226,98,42
2020-02-05,254317,829000,227,98,51
2020-02-06,250950,829000,225,98,51
2020-02-07,171448,829000,227,98,45
2020-02-08,316726,829000,228,98,54
2020-02-09,201282,830000,228,98,47
2020-02-10,187927,830000,228,98,46
2020-02-11,151866,830000,229,98,43
2020-02-12,254852,830000,229,98,51
2020-02-13,411491,830000,230,98,58
2020-02-14,231865,831000,230,98,49
2020-02-15,171917,831000,230,98,45
2020-02-16,206292,831000,230,98,48
2020-02-17,235686,832000,230,98,50
2020-02-18,256402,832000,230,98,51
2020-02-19,309969,833000,230,98,54
2020-02-20,335072,833000,231,98,55
2020-02-21,15799654,832000,238,98,100
2020-02-22,0,825000,268,98,15
2020-02-23,0,826000,228,98,15
2020-02-24,162715,826000,228,98,44
2020-02-25,0,826000,228,98,15
2020-02-26,129373,826000,228,98,41
2020-02-27,121842,826000,228,98,40
2020-02-28,99101,826000,228,98,37
2020-02-29,89809,826000,228,98,35
2020-03-01,85303,826000,228,98,35
2020-03-02,83367,826000,228,98,34
2020-03-03,78208,826000,228,98,33
2020-03-04,326347,827000,229,98,55
2020-03-05,210356,828000,229,98,48
2020-03-06,401653,829000,230,98,58
2020-03-07,245676,829000,231,98,50
2020-03-08,425833,830000,231,98,59
2020-03-09,201531,830000,231,98,47
2020-03-10,319869,830000,232,98,54
2020-03-11,211546,831000,232,98,47
2020-03-12,444646,831000,233,98,47
2020-03-13,232380,831000,233,98,47
2020-03-14,168130,831000,233,98,47
2020-03-15,154275,831000,233,98,47
2020-03-16,236452,832000,234,98,47
2020-03-17,186739,832000,234,98,47
2020-03-18,359463,832000,235,98,51
2020-03-19,187272,832000,235,98,52
2020-03-20,171359,832000,235,98,52
2020-03-21,133972,832000,235,98,52
2020-03-22,114853,832000,235,98,51
