searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2019-12-01,5974,53700,100,97,58
2019-12-02,9119,53700,100,96,42
2019-12-03,6745,53700,100,97,37
2019-12-04,4109,53700,100,97,30
2019-12-05,4250,53700,100,97,31
2019-12-06,4063,53700,101,97,30
2019-12-07,4258,53800,101,97,31
2019-12-08,5703,53800,102,97,35
2019-12-09,6234,53800,102,97,36
2019-12-10,4083,53800,102,97,30
2019-12-11,5441,53800,102,98,34
2019-12-12,4677,53800,102,98,32
2019-12-13,4123,53800,102,98,30
2019-12-14,3930,53800,102,98,29
2019-12-15,4542,53800,102,97,31
2019-12-16,6184,53800,101,98,36
2019-12-17,3238,53800,102,97,26
2019-12-18,3611,53800,102,97,28
2019-12-19,4886,53800,102,98,33
2019-12-20,5104,53900,102,98,33
2019-12-21,4165,53900,103,98,30
2019-12-22,5298,53900,103,97,34
2019-12-23,5418,53900,103,97,34
2019-12-24,4418,53900,103,98,31
2019-12-25,2376,53900,103,98,22
2019-12-26,4408,53900,103,98,31
2019-12-27,5798,53900,102,97,35
2019-12-28,3815,53900,104,98,29
2019-12-29,4973,53900,104,98,33
2019-12-30,6406,54000,104,98,37
2019-12-31,6368,54000,104,98,37
2020-01-01,5389,54000,105,98,34
2020-01-02,6077,54000,105,97,36
2020-01-03,9446,54000,105,97,42
2020-01-04,5134,54000,105,97,33
2020-01-05,6054,54100,105,97,36
2020-01-06,6887,54100,105,97,38
2020-01-07,6455,54100,105,97,37
2020-01-08,6134,54100,105,97,36
2020-01-09,6107,54100,105,97,36
2020-01-10,5956,54200,105,97,35
2020-01-11,5416,54200,105,97,34
2020-01-12,5275,54200,105,97,34
2020-01-13,5285,54200,105,97,34
2020-01-14,5046,54300,105,97,33
2020-01-15,5741,54300,105,97,35
2020-01-16,9222,54300,106,97,42
2020-01-17,7985,54300,106,97,40
2020-01-18,7507,54400,106,97,39
2020-01-19,7968,54400,106,97,40
2020-01-20,8737,54400,106,97,41
2020-01-21,8234,54500,106,97,40
2020-01-22,7976,54500,106,97,40
2020-01-23,8491,54600,106,97,41
2020-01-24,9238,54600,106,97,42
2020-01-25,7303,54700,106,97,38
2020-01-26,7265,54700,106,97,38
2020-01-27,10838,54700,107,97,44
2020-01-28,13764,54800,107,97,48
2020-01-29,19001,54900,107,97,53
2020-01-30,33752,55200,107,97,61
2020-01-31,19703,55300,107,97,53
2020-02-01,15699,55400,107,97,50
2020-02-02,16377,55600,107,97,50
2020-02-03,18768,55700,108,97,52
2020-02-04,15085,55800,108,97,49
2020-02-05,13214,55900,108,97,47
2020-02-06,10597,56000,108,97,44
2020-02-07,8361,56000,108,97,40
2020-02-08,7401,56000,108,97,38
2020-02-09,7619,56100,108,97,39
2020-02-10,8765,56100,108,97,41
2020-02-11,8516,56100,108,97,40
2020-02-12,8343,56200,108,97,40
2020-02-13,7717,56200,108,97,39
2020-02-14,8498,56200,108,97,40
2020-02-16,15981,56300,108,97,50
2020-02-17,8789,56400,108,97,41
2020-02-18,8752,56400,108,97,41
2020-02-19,8126,56400,108,96,40
2020-02-20,11299,56500,108,96,44
2020-02-21,9593,56500,109,96,42
2020-02-22,9572,56600,109,96,42
2020-02-23,13408,56600,110,96,47
2020-02-24,13050,56700,110,96,47
2020-02-25,13989,56800,111,96,48
2020-02-26,15098,56800,111,96,49
2020-02-27,12008,56900,111,96,45
2020-02-28,14339,56900,111,96,48
2020-02-29,14156,57000,112,96,48
2020-03-01,10472,57000,113,96,43
2020-03-02,14947,57100,113,96,48
2020-03-03,11960,57100,113,96,45
2020-03-04,12239,57100,114,96,45
2020-03-05,10591,57200,114,96,43
2020-03-06,9536,57200,114,96,42
2020-03-07,11192,57300,114,96,44
2020-03-08,12881,57300,115,96,46
2020-03-09,10498,57300,116,96,43
2020-03-10,11102,57400,116,96,44
2020-03-11,10564,57400,116,96,44
2020-03-12,9219,57400,116,96,44
2020-03-13,10284,57500,117,96,44
2020-03-14,8411,57500,117,96,44
2020-03-15,8051,57500,116,96,44
2020-03-16,9544,57500,117,96,44
2020-03-17,9072,57500,118,96,44
2020-03-18,11020,57500,119,96,33
2020-03-19,8416,57600,119,96,33
2020-03-20,8513,57600,119,96,34
2020-03-21,7112,57600,119,96,34
