searchDate,dailyViewCount,subscriberCount,videoCount,favorablePercent,activePercent
2019-12-10,116197,1180000,6835,85,34
2019-12-11,180614,1180000,6835,85,40
2019-12-12,159447,1180000,6835,85,39
2019-12-13,153072,1180000,6831,85,38
2019-12-14,142644,1180000,6831,85,37
2019-12-15,0,1180000,6831,86,0
2019-12-16,165632,1180000,6831,85,39
2019-12-17,133630,1180000,6831,85,36
2019-12-18,126439,1180000,6831,85,35
2019-12-19,120909,1180000,6831,85,34
2019-12-20,128731,1180000,6831,85,35
2019-12-21,147428,1180000,6831,85,37
2019-12-22,152668,1180000,6831,87,38
2019-12-23,151290,1180000,6831,85,38
2019-12-24,126976,1180000,6831,85,35
2019-12-25,91492,1180000,6831,85,30
2019-12-26,133493,1180000,6831,85,36
2019-12-27,132579,1180000,6831,85,36
2019-12-28,66777,1180000,6831,85,25
2019-12-29,120179,1180000,6831,85,34
2019-12-30,154846,1180000,6831,85,38
2019-12-31,170832,1180000,6831,85,40
2020-01-01,140635,1180000,6831,85,37
2020-01-02,131702,1180000,6831,85,36
2020-01-03,169438,1180000,6831,85,39
2020-01-04,150177,1180000,6831,85,38
2020-01-05,148835,1180000,6831,85,38
2020-01-06,168297,1180000,6831,85,39
2020-01-07,229077,1180000,6831,85,44
2020-01-08,210070,1180000,6831,85,43
2020-01-09,173196,1180000,6831,85,40
2020-01-10,157019,1180000,6831,85,38
2020-01-11,146815,1180000,6831,85,37
2020-01-12,148066,1180000,6831,85,37
2020-01-13,161235,1180000,6831,85,39
2020-01-14,134583,1180000,6831,85,36
2020-01-15,141870,1180000,6831,85,37
2020-01-16,145083,1180000,6831,85,37
2020-01-17,140681,1180000,6831,85,37
2020-01-18,148944,1180000,6831,85,38
2020-01-19,134126,1180000,6830,85,36
2020-01-20,15129,1180000,6830,85,16
2020-01-21,140014,1180000,6830,85,37
2020-01-22,136515,1180000,6830,85,36
2020-01-23,133826,1180000,6830,85,36
2020-01-24,133434,1180000,6830,85,36
2020-01-25,131933,1180000,6830,85,36
2020-01-26,126416,1180000,6830,85,35
2020-01-27,130000,1180000,6830,85,35
2020-01-28,151697,1180000,6830,85,38
2020-01-29,142797,1180000,6830,85,37
2020-01-30,130438,1180000,6830,85,36
2020-01-31,139519,1180000,6830,85,37
2020-02-01,132342,1180000,6830,85,36
2020-02-02,127175,1180000,6830,85,35
2020-02-03,129050,1180000,6830,85,35
2020-02-04,121827,1180000,6830,85,35
2020-02-05,133169,1180000,6830,85,36
2020-02-06,129795,1180000,6830,85,35
2020-02-07,123231,1180000,6830,85,35
2020-02-08,253276,1180000,6830,85,45
2020-02-09,122363,1180000,6830,85,35
2020-02-10,126416,1180000,6831,85,35
2020-02-11,118126,1180000,6831,85,34
2020-02-12,119676,1180000,6831,85,34
2020-02-13,116864,1180000,6831,85,34
2020-02-14,131453,1180000,6831,85,36
